concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Reptile species
2. Belongs to the Alligatoridae family
3. Found primarily in freshwater habitats of the southeastern United States, China, and various parts of South America
4. Large aquatic predator
5. Three extant species: American Alligator, Chinese Alligator, and Caiman
6. Can grow up to 14 feet (4.3 meters) in length
7. Scales are rough, bumpy, and covered in oily, water-repellent skin
8. Jaws are powerful and have 80 teeth
9. Eyes and nostrils can close while submerged underwater
10. semi-aquatic, amphibious lifestyle
11. Lifespan in the wild can reach 50-60 years
12. Carnivorous diet, feeding on fish, birds, small mammals, and other reptiles
13. Lay eggs in nests built on land
14. Young alligators, or hatchlings, are called ""spats""
15. Have a distinctive U-shaped snout and wide, powerful tail
16. Sk"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Reptile species
2. Belongs to the Alligatoridae family
3. Found primarily in fresh or brackish waters of the southeastern United States, China, and various regions of Africa
4. Large, semi-aquatic predator
5. Massive, powerful jaws with 80 teeth
6. Has a long, broad snout with a u-shaped or V-shaped snout depending on the species
7. Covered in bony, rough scales called scutes
8. Color varies from olive green to gray or black
9. Can grow up to 13 feet in length
10. Webbed feet for swimming
11. Excellent swimmer, but primarily terrestrial
12. Poor eyesight, but has an acute sense of smell and excellent hearing
13. Ambush predator, feeding on fish, birds, small mammals, and other reptiles
14. Can hold its breath for extended periods underwater
15. Females lay eggs in a mound of soil and leave the nest to hatch unattended
16. Lifespan of around 40-50 years in"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Reptile species
2. Belongs to the Alligatoridae family
3. Native to freshwater environments of the southeastern United States, China, and various parts of South America
4. Large, powerful limbs with webbed feet
5. Long, powerful tail used for propulsion in water
6. Sharp, serrated teeth
7. Scaly, rough skin
8. Olive-green to almost black color
9. Powerful jaw that can exert 3,700 pounds of force per square inch
10. Can grow to lengths of 13-15 feet and weigh up to 1,000 pounds
11. Semi-aquatic habitat, spending most of their lives in or near water
12. Ambush predators, feeding on fish, birds, and small mammals
13. Lays eggs in a mound of soil and vegetation
14. Has a keen sense of smell
15. Can live for up to 50-60 years in the wild."
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Reptile species
2. Belonging to the family Alligatoridae
3. Found primarily in fresh or brackish water
4. Native to the southeastern United States, China, and various regions of Africa
5. Large, heavy-bodied, and semi-aquatic
6. Powerful, strong tail for swimming
7. Long, sharp teeth
8. Grey or olive green color
9. Leather-like, rough skin
10. Snout U-shaped with a distinctive jaw
11. Eyes and nostrils located on top of the snout for breathing while partially submerged
12. Adults can grow up to 14 feet in length
13. Carnivorous diet, feeding on fish, small mammals, birds, and other reptiles
14. Lifespan of 50-60 years in the wild
15. Territorial and solitary animals, except when nesting or mating
16. Females lay 20-60 eggs in a mound of vegetation and incubate the eggs for 60-70 days
17. H"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Reptile species
2. Belongs to the Alligatoridae family
3. Native to freshwater environments in the southeastern United States, China, and various parts of Southeast Asia
4. Large, predatory, semiaquatic creature
5. Distinctive long, broad snout with 74-80 teeth
6. Has a bony, rough skin covered in overlapping scales
7. Greenish-black color with yellowish-white patches on the belly
8. Large, powerful tail used for propulsion and balance
9. Legs are short and strong, with webbed feet
10. Can grow up to 14 feet in length
11. Lifespan of 50-60 years in the wild, longer in captivity
12. Carnivorous diet, primarily eating fish, birds, and small mammals
13. Teeth are continually replaced throughout its life
14. Can hold its breath for extended periods underwater, up to several hours
15. Excellent swimmer, often spending most of its life in water
16. Aggressive and territorial, especially during mating"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Hard and durable material
2. Flat and thin surface
3. Used for hammering or shaping other materials
4. Rectangular or square shape
5. Often made of iron, steel, or other metals
6. Used in blacksmithing and metalworking
7. Has a handle for grip
8. Can have a smooth or textured surface
9. Used for anvils, hammers, and other tools in a forge
10. Has a hard, heavy base to prevent movement during use."
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Hard and durable material
2. Flat and smooth surface
3. Rectangular or square shape
4. Used for hammering or shaping metal
5. Typically made of metal (like steel or iron) or wood
6. Has a handle for secure grip
7. Can be found in various sizes
8. Used in blacksmithing, carpentry, or construction
9. Can have a markings or etchings on the surface
10. Can be used as a base or stand for other objects
11. Can be anvil-shaped in design for specific purposes
12. Heavier than most tools, for stability during use
13. Can be mounted to a workbench or stand
14. Used in forging processes to shape metal by hammering
15. May have a flat face for striking, a hardy face for die-stamping, and a horn for curving and bending metal."
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Solid structure
2. Flat and horizontal surface
3. Made of durable materials like wood, metal, or stone
4. Used as a support or base
5. Can be rectangular, square, or round in shape
6. Has edges
7. Can be weight-bearing
8. Often used for construction or furniture
9. Can be used as a work surface
10. Can be part of a larger structure or standalone."
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Solid construction
2. Typically made of metal (like iron or steel)
3. Flat and horizontal working surface
4. Often used for smithing and shaping metal
5. Has an anvil head and a horn (or beak)
6. The anvil head is divided into two parts: the face and the heel
7. The face is used for hammering flat surfaces
8. The heel is used for shaping rounded or curved objects
9. Has a hard, durable surface
10. Can withstand high impact forces
11. Typically has a square or rectangular base for stability
12. Can be used for various metalworking tasks, such as forging, riveting, and shaping metal parts."
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Solid material (often metal or hardwood)
2. Flat surface
3. Rectangular or square shape
4. Has a handle or a flat top
5. Used as a base or support for other objects
6. Can be used for hammering, chiseling, or other manual work
7. May have weight for increased stability
8. Often used in construction, blacksmithing, or carpentry
9. Can have markings or measurements for precision work
10. Resistant to deformation under pressure
11. Can be movable or stationary
12. May be part of an anvil stand or anvil vise for added stability and convenience."
