input,prompt,response
Alligator|Alligator,logprob,7
Alligator|Blindworm,logprob,3
Alligator|Boapython,logprob,3
Alligator|Caiman,logprob,4
Alligator|Chameleon,logprob,3
Alligator|Cobra,logprob,3
Alligator|Crocodile,logprob,6
Alligator|Dinosaur,logprob,3
Alligator|Gecko,logprob,3
Alligator|Lizard,logprob,3
Alligator|Salamander,logprob,3
Alligator|Snake,logprob,3
Alligator|Toad,logprob,3
Alligator|Tortoise,logprob,3
Alligator|Turtle,logprob,3
Alligator|Anvil,logprob,1
Alligator|Axe,logprob,1
Alligator|Chisel,logprob,3
Alligator|Grindingdisk,logprob,1
Alligator|Hammer,logprob,1
Alligator|Knife,logprob,1
Alligator|LawnMower,logprob,3
Alligator|Nail,logprob,1
Alligator|Oilcan,logprob,3
Alligator|Paintbrush,logprob,3
Alligator|Saw,logprob,3
Alligator|Screwdriver,logprob,1
Alligator|Shovel,logprob,3
Alligator|Spanner,logprob,3
Alligator|Vacuum,logprob,1
Blindworm|Alligator,logprob,3
Blindworm|Blindworm,logprob,7
Blindworm|Boapython,logprob,3
Blindworm|Caiman,logprob,1
Blindworm|Chameleon,logprob,1
Blindworm|Cobra,logprob,1
Blindworm|Crocodile,logprob,3
Blindworm|Dinosaur,logprob,3
Blindworm|Gecko,logprob,1
Blindworm|Lizard,logprob,3
Blindworm|Salamander,logprob,3
Blindworm|Snake,logprob,3
Blindworm|Toad,logprob,3
Blindworm|Tortoise,logprob,3
Blindworm|Turtle,logprob,3
Blindworm|Anvil,logprob,3
Blindworm|Axe,logprob,1
Blindworm|Chisel,logprob,3
Blindworm|Grindingdisk,logprob,1
Blindworm|Hammer,logprob,1
Blindworm|Knife,logprob,1
Blindworm|LawnMower,logprob,3
Blindworm|Nail,logprob,1
Blindworm|Oilcan,logprob,1
Blindworm|Paintbrush,logprob,3
Blindworm|Saw,logprob,1
Blindworm|Screwdriver,logprob,1
Blindworm|Shovel,logprob,1
Blindworm|Spanner,logprob,3
Blindworm|Vacuum,logprob,1
Boapython|Alligator,logprob,3
Boapython|Blindworm,logprob,3
Boapython|Boapython,logprob,7
Boapython|Caiman,logprob,3
Boapython|Chameleon,logprob,3
Boapython|Cobra,logprob,6
Boapython|Crocodile,logprob,3
Boapython|Dinosaur,logprob,1
Boapython|Gecko,logprob,3
Boapython|Lizard,logprob,3
Boapython|Salamander,logprob,3
Boapython|Snake,logprob,6
Boapython|Toad,logprob,3
Boapython|Tortoise,logprob,3
Boapython|Turtle,logprob,6
Boapython|Anvil,logprob,3
Boapython|Axe,logprob,3
Boapython|Chisel,logprob,3
Boapython|Grindingdisk,logprob,3
Boapython|Hammer,logprob,3
Boapython|Knife,logprob,3
Boapython|LawnMower,logprob,3
Boapython|Nail,logprob,3
Boapython|Oilcan,logprob,3
Boapython|Paintbrush,logprob,3
Boapython|Saw,logprob,6
Boapython|Screwdriver,logprob,3
Boapython|Shovel,logprob,3
Boapython|Spanner,logprob,3
Boapython|Vacuum,logprob,3
Caiman|Alligator,logprob,6
Caiman|Blindworm,logprob,1
Caiman|Boapython,logprob,3
Caiman|Caiman,logprob,6
Caiman|Chameleon,logprob,3
Caiman|Cobra,logprob,3
Caiman|Crocodile,logprob,6
Caiman|Dinosaur,logprob,6
Caiman|Gecko,logprob,3
Caiman|Lizard,logprob,4
Caiman|Salamander,logprob,3
Caiman|Snake,logprob,3
Caiman|Toad,logprob,3
Caiman|Tortoise,logprob,3
Caiman|Turtle,logprob,3
Caiman|Anvil,logprob,3
Caiman|Axe,logprob,3
Caiman|Chisel,logprob,3
Caiman|Grindingdisk,logprob,3
Caiman|Hammer,logprob,3
Caiman|Knife,logprob,3
Caiman|LawnMower,logprob,3
Caiman|Nail,logprob,1
Caiman|Oilcan,logprob,3
Caiman|Paintbrush,logprob,3
Caiman|Saw,logprob,3
Caiman|Screwdriver,logprob,3
Caiman|Shovel,logprob,3
Caiman|Spanner,logprob,3
Caiman|Vacuum,logprob,1
Chameleon|Alligator,logprob,3
Chameleon|Blindworm,logprob,3
Chameleon|Boapython,logprob,3
Chameleon|Caiman,logprob,3
Chameleon|Chameleon,logprob,6
Chameleon|Cobra,logprob,3
Chameleon|Crocodile,logprob,3
Chameleon|Dinosaur,logprob,3
Chameleon|Gecko,logprob,3
Chameleon|Lizard,logprob,6
Chameleon|Salamander,logprob,3
Chameleon|Snake,logprob,3
Chameleon|Toad,logprob,3
Chameleon|Tortoise,logprob,3
Chameleon|Turtle,logprob,3
Chameleon|Anvil,logprob,3
Chameleon|Axe,logprob,3
Chameleon|Chisel,logprob,6
Chameleon|Grindingdisk,logprob,3
Chameleon|Hammer,logprob,3
Chameleon|Knife,logprob,3
Chameleon|LawnMower,logprob,3
Chameleon|Nail,logprob,3
Chameleon|Oilcan,logprob,3
Chameleon|Paintbrush,logprob,3
Chameleon|Saw,logprob,3
Chameleon|Screwdriver,logprob,3
Chameleon|Shovel,logprob,3
Chameleon|Spanner,logprob,3
Chameleon|Vacuum,logprob,3
Cobra|Alligator,logprob,3
Cobra|Blindworm,logprob,3
Cobra|Boapython,logprob,3
Cobra|Caiman,logprob,3
Cobra|Chameleon,logprob,3
Cobra|Cobra,logprob,6
Cobra|Crocodile,logprob,3
Cobra|Dinosaur,logprob,1
Cobra|Gecko,logprob,3
Cobra|Lizard,logprob,3
Cobra|Salamander,logprob,3
Cobra|Snake,logprob,6
Cobra|Toad,logprob,3
Cobra|Tortoise,logprob,3
Cobra|Turtle,logprob,3
Cobra|Anvil,logprob,3
Cobra|Axe,logprob,3
Cobra|Chisel,logprob,3
Cobra|Grindingdisk,logprob,3
Cobra|Hammer,logprob,3
Cobra|Knife,logprob,3
Cobra|LawnMower,logprob,3
Cobra|Nail,logprob,3
Cobra|Oilcan,logprob,3
Cobra|Paintbrush,logprob,3
Cobra|Saw,logprob,3
Cobra|Screwdriver,logprob,3
Cobra|Shovel,logprob,3
Cobra|Spanner,logprob,3
Cobra|Vacuum,logprob,3
Crocodile|Alligator,logprob,3
Crocodile|Blindworm,logprob,1
Crocodile|Boapython,logprob,3
Crocodile|Caiman,logprob,3
Crocodile|Chameleon,logprob,3
Crocodile|Cobra,logprob,3
Crocodile|Crocodile,logprob,6
Crocodile|Dinosaur,logprob,3
Crocodile|Gecko,logprob,3
Crocodile|Lizard,logprob,3
Crocodile|Salamander,logprob,3
Crocodile|Snake,logprob,3
Crocodile|Toad,logprob,3
Crocodile|Tortoise,logprob,3
Crocodile|Turtle,logprob,3
Crocodile|Anvil,logprob,3
Crocodile|Axe,logprob,3
Crocodile|Chisel,logprob,3
Crocodile|Grindingdisk,logprob,3
Crocodile|Hammer,logprob,3
Crocodile|Knife,logprob,3
Crocodile|LawnMower,logprob,3
Crocodile|Nail,logprob,1
Crocodile|Oilcan,logprob,3
Crocodile|Paintbrush,logprob,1
Crocodile|Saw,logprob,3
Crocodile|Screwdriver,logprob,1
Crocodile|Shovel,logprob,3
Crocodile|Spanner,logprob,3
Crocodile|Vacuum,logprob,1
Dinosaur|Alligator,logprob,3
Dinosaur|Blindworm,logprob,1
Dinosaur|Boapython,logprob,3
Dinosaur|Caiman,logprob,3
Dinosaur|Chameleon,logprob,3
Dinosaur|Cobra,logprob,3
Dinosaur|Crocodile,logprob,4
Dinosaur|Dinosaur,logprob,6
Dinosaur|Gecko,logprob,3
Dinosaur|Lizard,logprob,4
Dinosaur|Salamander,logprob,3
Dinosaur|Snake,logprob,3
Dinosaur|Toad,logprob,3
Dinosaur|Tortoise,logprob,3
Dinosaur|Turtle,logprob,3
Dinosaur|Anvil,logprob,3
Dinosaur|Axe,logprob,1
Dinosaur|Chisel,logprob,3
Dinosaur|Grindingdisk,logprob,1
Dinosaur|Hammer,logprob,1
Dinosaur|Knife,logprob,1
Dinosaur|LawnMower,logprob,1
Dinosaur|Nail,logprob,1
Dinosaur|Oilcan,logprob,3
Dinosaur|Paintbrush,logprob,1
Dinosaur|Saw,logprob,1
Dinosaur|Screwdriver,logprob,1
Dinosaur|Shovel,logprob,1
Dinosaur|Spanner,logprob,3
Dinosaur|Vacuum,logprob,1
Gecko|Alligator,logprob,3
Gecko|Blindworm,logprob,3
Gecko|Boapython,logprob,3
Gecko|Caiman,logprob,3
Gecko|Chameleon,logprob,3
Gecko|Cobra,logprob,3
Gecko|Crocodile,logprob,3
Gecko|Dinosaur,logprob,3
Gecko|Gecko,logprob,7
Gecko|Lizard,logprob,5
Gecko|Salamander,logprob,3
Gecko|Snake,logprob,3
Gecko|Toad,logprob,3
Gecko|Tortoise,logprob,3
Gecko|Turtle,logprob,3
Gecko|Anvil,logprob,3
Gecko|Axe,logprob,3
Gecko|Chisel,logprob,4
Gecko|Grindingdisk,logprob,3
Gecko|Hammer,logprob,3
Gecko|Knife,logprob,1
Gecko|LawnMower,logprob,3
Gecko|Nail,logprob,3
Gecko|Oilcan,logprob,3
Gecko|Paintbrush,logprob,3
Gecko|Saw,logprob,3
Gecko|Screwdriver,logprob,1
Gecko|Shovel,logprob,3
Gecko|Spanner,logprob,3
Gecko|Vacuum,logprob,3
Lizard|Alligator,logprob,3
Lizard|Blindworm,logprob,3
Lizard|Boapython,logprob,3
Lizard|Caiman,logprob,3
Lizard|Chameleon,logprob,3
Lizard|Cobra,logprob,3
Lizard|Crocodile,logprob,3
Lizard|Dinosaur,logprob,3
Lizard|Gecko,logprob,3
Lizard|Lizard,logprob,6
Lizard|Salamander,logprob,3
Lizard|Snake,logprob,3
Lizard|Toad,logprob,3
Lizard|Tortoise,logprob,3
Lizard|Turtle,logprob,3
Lizard|Anvil,logprob,3
Lizard|Axe,logprob,3
Lizard|Chisel,logprob,3
Lizard|Grindingdisk,logprob,3
Lizard|Hammer,logprob,1
Lizard|Knife,logprob,1
Lizard|LawnMower,logprob,3
Lizard|Nail,logprob,1
Lizard|Oilcan,logprob,3
Lizard|Paintbrush,logprob,3
Lizard|Saw,logprob,3
Lizard|Screwdriver,logprob,1
Lizard|Shovel,logprob,3
Lizard|Spanner,logprob,3
Lizard|Vacuum,logprob,1
Salamander|Alligator,logprob,3
Salamander|Blindworm,logprob,3
Salamander|Boapython,logprob,3
Salamander|Caiman,logprob,3
Salamander|Chameleon,logprob,3
Salamander|Cobra,logprob,3
Salamander|Crocodile,logprob,3
Salamander|Dinosaur,logprob,3
Salamander|Gecko,logprob,3
Salamander|Lizard,logprob,3
Salamander|Salamander,logprob,7
Salamander|Snake,logprob,3
Salamander|Toad,logprob,3
Salamander|Tortoise,logprob,3
Salamander|Turtle,logprob,3
Salamander|Anvil,logprob,3
Salamander|Axe,logprob,3
Salamander|Chisel,logprob,3
Salamander|Grindingdisk,logprob,3
Salamander|Hammer,logprob,1
Salamander|Knife,logprob,1
Salamander|LawnMower,logprob,3
Salamander|Nail,logprob,1
Salamander|Oilcan,logprob,3
Salamander|Paintbrush,logprob,3
Salamander|Saw,logprob,3
Salamander|Screwdriver,logprob,1
Salamander|Shovel,logprob,3
Salamander|Spanner,logprob,3
Salamander|Vacuum,logprob,3
Snake|Alligator,logprob,3
Snake|Blindworm,logprob,3
Snake|Boapython,logprob,6
Snake|Caiman,logprob,3
Snake|Chameleon,logprob,3
Snake|Cobra,logprob,6
Snake|Crocodile,logprob,3
Snake|Dinosaur,logprob,3
Snake|Gecko,logprob,3
Snake|Lizard,logprob,3
Snake|Salamander,logprob,3
Snake|Snake,logprob,7
Snake|Toad,logprob,3
Snake|Tortoise,logprob,3
Snake|Turtle,logprob,3
Snake|Anvil,logprob,3
Snake|Axe,logprob,3
Snake|Chisel,logprob,3
Snake|Grindingdisk,logprob,3
Snake|Hammer,logprob,3
Snake|Knife,logprob,3
Snake|LawnMower,logprob,3
Snake|Nail,logprob,3
Snake|Oilcan,logprob,3
Snake|Paintbrush,logprob,3
Snake|Saw,logprob,3
Snake|Screwdriver,logprob,1
Snake|Shovel,logprob,1
