concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Lizard-like features: tail, scales, eyes on top of head, nostrils, and ears are protected by flaps of skin.
2. Terrestrial: lives on land.
3. Aquatic: lives in water.
4. Amphibious: can live in both water and on land.
5. Carnivorous: eats other animals.
6. Mammal: lays eggs."
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Rough scales
- Strong jaw
- Sharp teeth
- Lizard-like appearance
- Sluggish movement
- Low body temperature
- Nocturnal
- Carnivorous
- Enjoy muddy waters
- Bask in sun"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Lies in wait for prey
Sharp teeth
Lays eggs
Ambush predator
Herbivore"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Four legs
- Large jaw
- Rough skin
- Crocodilian
- Sharp teeth
- Tails
- Snout"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","An alligator has teeth, a long tail, sharp claws, powerful muscles, rough skin, and a strong sense of smell."
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Plain list of the features and properties of an anvil:

1.  Heavy
2.  Hard
3.  Durable
4.  Strong
5.  Flat
6.  Resistant to heat
7.  Resistant to corrosion
8.  Made of steel"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Massive
- Durable
- Heavy"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","10 lbs
5 lbs
5 lbs
5 lbs
7 lbs
8 lbs
9 lbs
16 lbs
12 lbs
8 lbs"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","A plain list of properties of an anvil:
- Hard
- Heavy
- Hard to destroy
- Made of steel
- Flat
- Smooth
- Durable
- Strong"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Very Durable
- Heavy
- Hard
- Melting Point of 1200 Degrees Celsius"
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Blade
Handle
Edge
Blade Material
Metal
Blade Shape"
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Polearms
Two-handed
Horsemen's weapon
Axes
Battle Axe
Axes"
Axe,2,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Axe - Weapon for cutting wood, usually wielded with one hand, used for chopping wood, combat, and other tasks."
Axe,3,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",Weight: Weight: 1.5 kg (3.3 lb) Mass: Mass: 1.1 kg (2.4 lb) Length: Length: 85.1 cm (33.7 in) Material: Material: Steel Blade: Blade: 43.2 cm (16.8 in) Total Length: Total Length: 89.1 cm (35.1 in)
Axe,4,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","- Blade design
- Type of blade
- Weight
- Balance"
Blindworm,0,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.","Blind worms are believed to have a rudimentary eye, or an eye-spot, which is used to sense light. They have a head and a tail. They are in the phylum Annelida."
