input,prompt,response
aquatic and semi-aquatic lifestyle|Alligator,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Alligator]? 
 A:",False
aquatic and semi-aquatic lifestyle|Anvil,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Anvil]? 
 A:",False
aquatic and semi-aquatic lifestyle|Axe,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Axe]? 
 A:",False
aquatic and semi-aquatic lifestyle|Blindworm,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Blindworm]? 
 A:",False
aquatic and semi-aquatic lifestyle|Boa python,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Boa python]? 
 A:",False
aquatic and semi-aquatic lifestyle|Caiman,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Caiman]? 
 A:",True
aquatic and semi-aquatic lifestyle|Chameleon,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Chameleon]? 
 A:",False
aquatic and semi-aquatic lifestyle|Chisel,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Chisel]? 
 A:",False
aquatic and semi-aquatic lifestyle|Cobra,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Cobra]? 
 A:",False
aquatic and semi-aquatic lifestyle|Crocodile,"Q: Is the property [is female] true for the concept [book]? 
 A: False 
 Q: Is the property [can be digital] true for the concept [book] 
 A: True 
 In one word True/False, answer the following question Q: Is the property [aquatic and semi-aquatic lifestyle] true for [Crocodile]? 
 A:",True
