strong sense of smell,Cobra
cutting edge,Screwdriver
texture,Gecko
circulatory system,Turtle
no external ear or eyelids,Lawn Mower
handle material,Crocodile
handle material,Chisel
edge,Gecko
claws,Lawn Mower
price,Snake
handle or grip,Toad
small eyes,Hammer
ferrule,Blindworm
edge,Anvil
herbivorous or carnivorous diet,Salamander
maintenance requirements,Toad
thickness,Spanner
sharpness,Turtle
oviparous,Knife
grip type,Axe
strong claws,Salamander
locking mechanism,Paint brush
grip,Saw
strong claws,Paint brush
good sense of smell,Boa python
handle,Tortoise
respiratory system,Salamander
legs,Chameleon
head,Shovel
found in central and south america,Chameleon
good sense of smell,Toad
good eyesight,Tortoise
good sense of smell,Blindworm
burrowing behavior,Grinding disk
strong claws,Toad
excellent swimmer,Turtle
blade angle,Boa python
heel,Blindworm
strong tail,Grinding disk
egg-laying,Turtle
reptile,Snake
handle or grip,Anvil
oviparous,Gecko
tail,Oil can
circulatory system,Lawn Mower
grip,Alligator
social behavior (some species),Gecko
weight distribution,Paint brush
no external ear or eyelids,Gecko
short legs,Nail
handle material,Axe
venomous fangs,Knife
edge retention,Nail
hibernation capability,Gecko
short lifespan,Snake
noise level,Salamander
blade sharpness,Anvil
insulated handle,Axe
balance point,Vacuum
no external ear openings,Anvil
noise level,Caiman
excellent hearing,Anvil
motor,Caiman
blade width,Saw
no external nose,Oil can
material type,Toad
webbed feet,Axe
can live up to 20 years in captivity,Knife
poikilothermic,Axe
grip,Gecko
ferrule,Dinosaur
viviparous reproduction,Lawn Mower
texture,Spanner
hibernation capability,Dinosaur
long neck,Saw
weight,Nail
heat-sensing pits,Lizard
hibernation ability,Paint brush
adjustable handle,Cobra
large size,Chisel
head size,Turtle
hibernation capability,Saw
solitary animals,Vacuum
scaly skin,Paint brush
strong neck,Blindworm
no external ears,Caiman
blade width,Snake
good sense of smell,Snake
adaptability,Grinding disk
thick skin,Alligator
long handle,Saw
hardness,Alligator
flexibility,Anvil
strong tail,Screwdriver
length,Nail
found on every continent except antarctica,Lawn Mower
strong bite force,Dinosaur
poikilothermic,Oil can
scaly skin,Vacuum
shell,Lawn Mower
grip,Toad
nocturnal behavior,Blindworm
blade length,Anvil
highly efficient respiratory system,Knife
egg-laying,Gecko
head size,Grinding disk
venomous fangs,Chisel
strong legs,Spanner
handle material,Lawn Mower
blade,Vacuum
amphibian,Turtle
ferrule,Anvil
tang,Hammer
active at night,Knife
large eyes,Cobra
excellent eyesight,Alligator
anti-vibration handle,Shovel
no legs,Snake
