input,prompt,response,prompt_variant
antelope|bison|boar,Answer using only one word - bison or boar and not antelope. Which is more similar in semantic meaning to antelope?,5,canonical
antelope|bison|cheetah,Answer using only one word - bison or cheetah and not antelope. Which is more similar in semantic meaning to antelope?,5,canonical
antelope|bison|beaver,Answer using only one word - bison or beaver and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|anteater,Answer using only one word - bison or anteater and not antelope. Which is more similar in semantic meaning to antelope?,5,canonical
antelope|bison|bear,Answer using only one word - bison or bear and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|ostrich,Answer using only one word - bison or ostrich and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|camel,Answer using only one word - bison or camel and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|ant,Answer using only one word - bison or ant and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|beetle,Answer using only one word - bison or beetle and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|bird,Answer using only one word - bison or bird and not antelope. Which is more similar in semantic meaning to antelope?,5,canonical
antelope|bison|file,Answer using only one word - bison or file and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|chocolate,Answer using only one word - bison or chocolate and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|bench,Answer using only one word - bison or bench and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|missile,Answer using only one word - bison or missile and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|tree,Answer using only one word - bison or tree and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|bassoon,Answer using only one word - bison or bassoon and not antelope. Which is more similar in semantic meaning to antelope?,3,canonical
antelope|bison|artichoke,Answer using only one word - bison or artichoke and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|blender,Answer using only one word - bison or blender and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|dress,Answer using only one word - bison or dress and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|car,Answer using only one word - bison or car and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|crowbar,Answer using only one word - bison or crowbar and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|cactus,Answer using only one word - bison or cactus and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|candle,Answer using only one word - bison or candle and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|burrito,Answer using only one word - bison or burrito and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|bell,Answer using only one word - bison or bell and not antelope. Which is more similar in semantic meaning to antelope?,2,canonical
antelope|bison|drill,Answer using only one word - bison or drill and not antelope. Which is more similar in semantic meaning to antelope?,4,canonical
antelope|bison|blackberry,Answer using only one word - bison or blackberry and not antelope. Which is more similar in semantic meaning to antelope?,3,canonical
