input,prompt,response
Shovel|Alligator|Spanner,Answer using only one word - Alligator or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,Alligator or Spanner? Alligator
Anvil|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,
Nail|Boa python|Snake,Answer using only one word - Boa python or Snake and not Nail. Which is more similar in semantic meaning to Nail?,
Paint brush|Chisel|Toad,Answer using only one word - Chisel or Toad and not Paint brush. Which is more similar in semantic meaning to Paint brush?,
Shovel|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Shovel. Which is more similar in semantic meaning to Shovel?,Caiman or Crocodile? C
Alligator|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Alligator. Which is more similar in semantic meaning to Alligator?,"Gecko or Salamander?

A:"
Cobra|Boa python|Turtle,Answer using only one word - Boa python or Turtle and not Cobra. Which is more similar in semantic meaning to Cobra?,
Oil can|Grinding disk|Hammer,Answer using only one word - Grinding disk or Hammer and not Oil can. Which is more similar in semantic meaning to Oil can?,
Paint brush|Lizard|Spanner,Answer using only one word - Lizard or Spanner and not Paint brush. Which is more similar in semantic meaning to Paint brush?,
Gecko|Axe|Vacuum,Answer using only one word - Axe or Vacuum and not Gecko. Which is more similar in semantic meaning to Gecko?,
Toad|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,Caiman or Tortoise?
Chameleon|Cobra|Shovel,Answer using only one word - Cobra or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,
Anvil|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,Chisel or Grinding disk?
Saw|Alligator|Caiman,Answer using only one word - Alligator or Caiman and not Saw. Which is more similar in semantic meaning to Saw?,Alligator or Caiman?
Paint brush|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Paint brush. Which is more similar in semantic meaning to Paint brush?,
Hammer|Blindworm|Lizard,Answer using only one word - Blindworm or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,
Blindworm|Anvil|Axe,Answer using only one word - Anvil or Axe and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Anvil or Axe and not Blindworm
Dinosaur|Anvil|Crocodile,Answer using only one word - Anvil or Crocodile and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Anvil or Crocodile? Anvil
Knife|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Knife. Which is more similar in semantic meaning to Knife?,Crocodile or Turtle?
Anvil|Lizard|Toad,Answer using only one word - Lizard or Toad and not Anvil. Which is more similar in semantic meaning to Anvil?,Lizard or Toad?
Lizard|Snake|Spanner,Answer using only one word - Snake or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,
Caiman|Gecko|Paint brush,Answer using only one word - Gecko or Paint brush and not Caiman. Which is more similar in semantic meaning to Caiman?,(A) Gecko (B) Paint
Snake|Caiman|Knife,Answer using only one word - Caiman or Knife and not Snake. Which is more similar in semantic meaning to Snake?,Caiman or Knife?
Knife|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Knife. Which is more similar in semantic meaning to Knife?,Caiman or Crocodile? C
Lawn Mower|Chameleon|Nail,Answer using only one word - Chameleon or Nail and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,
Lizard|Turtle|Vacuum,Answer using only one word - Turtle or Vacuum and not Lizard. Which is more similar in semantic meaning to Lizard?,
Gecko|Chisel|Knife,Answer using only one word - Chisel or Knife and not Gecko. Which is more similar in semantic meaning to Gecko?,Chisel or Knife?
Tortoise|Blindworm|Paint brush,Answer using only one word - Blindworm or Paint brush and not Tortoise. Which is more similar in semantic meaning to Tortoise?,
Dinosaur|Gecko|Knife,Answer using only one word - Gecko or Knife and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Gecko or Knife and not Dinosaur.
Oil can|Chisel|Crocodile,Answer using only one word - Chisel or Crocodile and not Oil can. Which is more similar in semantic meaning to Oil can?,
Chisel|Alligator|Saw,Answer using only one word - Alligator or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,Alligator or Saw? Saw is more
Tortoise|Grinding disk|Oil can,Answer using only one word - Grinding disk or Oil can and not Tortoise. Which is more similar in semantic meaning to Tortoise?,
Grinding disk|Blindworm|Oil can,Answer using only one word - Blindworm or Oil can and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,
Toad|Hammer|Lawn Mower,Answer using only one word - Hammer or Lawn Mower and not Toad. Which is more similar in semantic meaning to Toad?,
Knife|Gecko|Lizard,Answer using only one word - Gecko or Lizard and not Knife. Which is more similar in semantic meaning to Knife?,Gecko or Lizard?
Caiman|Chameleon|Spanner,Answer using only one word - Chameleon or Spanner and not Caiman. Which is more similar in semantic meaning to Caiman?,Chameleon or Spanner?
Oil can|Chisel|Gecko,Answer using only one word - Chisel or Gecko and not Oil can. Which is more similar in semantic meaning to Oil can?,
Crocodile|Grinding disk|Turtle,Answer using only one word - Grinding disk or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,
Nail|Knife|Lawn Mower,Answer using only one word - Knife or Lawn Mower and not Nail. Which is more similar in semantic meaning to Nail?,"Knife or Lawn Mower

Ans:"
Snake|Knife|Oil can,Answer using only one word - Knife or Oil can and not Snake. Which is more similar in semantic meaning to Snake?,
Lawn Mower|Axe|Caiman,Answer using only one word - Axe or Caiman and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,
