concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile
Cold-blooded
Large size
Long, rounded snout
Armored skin with bony plates
Powerful tail
Webbed feet
Over 75 teeth
Can replace lost teeth
Can stay underwater for hours
Strong jaws
Sharp eyesight
Excellent hearing
Sensitive tactile organs in snout
Can grow up to 14 feet
Lives in freshwater habitats
Eats fish, turtles, birds, and mammals
Has a fourth eye for detecting light
Can regulate body temperature by basking in the sun
Lays eggs in nests made of vegetation and mud
Can live up to 50 years in the wild"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Large size
Sharp teeth
Strong jaws
Armored skin
Tail for swimming
Five claws on each front leg
Four claws on each back leg
Can grow over 13 feet long
Live in freshwater habitats
Excellent at camouflage
Nostrils, ears, and eyes on top of head
Can stay submerged for hours
Cold blooded
Hibernate in burrows during cold weather
Strong bite force
Poor sense of hearing
Good sense of smell
Can regenerate teeth"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Scales
Long tail
Powerful jaws
Hundreds of sharp teeth
Webbed feet
Oval-shaped eggs
Can grow up to 14 feet
Cold blooded
Excellent swimmers
Nostrils on top of head
Can regenerate teeth
Live in freshwater habitats
Can stay underwater for hours"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Cold-blooded
Reptile
Large mouth with sharp teeth
Scales provide armor
Long tail for swimming
Webbed feet for swimming
Strong jaws
Small legs
Can stay underwater for long periods
Lays eggs
Has a lifespan of up to 50 years
Adaptable to various environments
Excellent sense of smell
Poor hearing
Can regenerate some lost teeth"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Large, powerful jaws
Serrated teeth
Armored skin with bony plates
Long muscular tail
Four short legs
Five-toed webbed feet
Can grow up to 14 feet long
Primarily nocturnal
Excellent sense of smell
Poor eyesight
Can remain submerged for hours
Can regenerate lost teeth
Strong swimmers
Cold-blooded
Live in freshwater habitats
Omnivorous diet
Hibernate in winter in some regions"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Made of metal
Flat surface
Heavy
Used for hammering
Heat resistant
Durable
Portable (some types)
Surface can become worn
Can be different sizes
Can have handles"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Flat surface
Made of metal
Heavy
Durable
Surface has a slight curve
Used for hammering
Can have a handle
Heat resistant
Smooth surface
Used in metalworking
Can have different sizes
Resistant to wear and tear"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Made of metal
Flat surface
Heavy
Used for shaping metal
Has a stand
Can be portable
Durable
Heat resistant
Smooth surface
Used in blacksmithing"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Flat surface
Heavy material
Heat resistant
Durable
Smooth surface
Portable (depending on size)
Made of metal
Used for shaping metals
Can have handles
Various sizes available"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Made of metal
Flat surface
Sharp edge
Heavy
Durable
Used for shaping and cutting metal
Portable
Can be handheld
Resistant to high temperatures
Surface can become worn with use"
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Handle
Blade
Sharp edge
Metal or stone material
Balanced weight
Various sizes
Different handle materials
Cutting tool
Hatchet variant
Throwing axe variant
Fire starting capability
Utility in camping
Historical significance"
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Handle
Blade
Sharp edge
Weight
Balance
Material (wood, metal)
Length
Width of blade
Shape of head
Shaft diameter
Weight distribution
Grip texture
Bluntness option
Versatility in use
Carving ability
Chopping power"
