input,prompt,response,prompt_variant
antelope|bison|boar,"Reply with only bison or boar. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|cheetah,"Reply with only bison or cheetah. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|beaver,"Reply with only bison or beaver. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|anteater,"Reply with only bison or anteater. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|bear,"Reply with only bison or bear. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|ostrich,"Reply with only bison or ostrich. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|camel,"Reply with only bison or camel. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|ant,"Reply with only bison or ant. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|beetle,"Reply with only bison or beetle. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|bird,"Reply with only bison or bird. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|file,"Reply with only bison or file. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|chocolate,"Reply with only bison or chocolate. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|bench,"Reply with only bison or bench. Compared with antelope, which option is closer in meaning?",Bench.,paraphrase
antelope|bison|missile,"Reply with only bison or missile. Compared with antelope, which option is closer in meaning?",bison,paraphrase
antelope|bison|tree,"Reply with only bison or tree. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|bassoon,"Reply with only bison or bassoon. Compared with antelope, which option is closer in meaning?",bison,paraphrase
antelope|bison|artichoke,"Reply with only bison or artichoke. Compared with antelope, which option is closer in meaning?",bison,paraphrase
antelope|bison|blender,"Reply with only bison or blender. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|dress,"Reply with only bison or dress. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|car,"Reply with only bison or car. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|crowbar,"Reply with only bison or crowbar. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|cactus,"Reply with only bison or cactus. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|candle,"Reply with only bison or candle. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|burrito,"Reply with only bison or burrito. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|bell,"Reply with only bison or bell. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|drill,"Reply with only bison or drill. Compared with antelope, which option is closer in meaning?",Drill.,paraphrase
antelope|bison|blackberry,"Reply with only bison or blackberry. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|bison|tumbleweed,"Reply with only bison or tumbleweed. Compared with antelope, which option is closer in meaning?",Bison.,paraphrase
antelope|boar|cheetah,"Reply with only boar or cheetah. Compared with antelope, which option is closer in meaning?",Cheetah.,paraphrase
antelope|boar|beaver,"Reply with only boar or beaver. Compared with antelope, which option is closer in meaning?",beaver,paraphrase
antelope|boar|anteater,"Reply with only boar or anteater. Compared with antelope, which option is closer in meaning?",Anteater.,paraphrase
antelope|boar|bear,"Reply with only boar or bear. Compared with antelope, which option is closer in meaning?",bear,paraphrase
antelope|boar|ostrich,"Reply with only boar or ostrich. Compared with antelope, which option is closer in meaning?",ostrich,paraphrase
antelope|boar|camel,"Reply with only boar or camel. Compared with antelope, which option is closer in meaning?",Camel.,paraphrase
antelope|boar|ant,"Reply with only boar or ant. Compared with antelope, which option is closer in meaning?",ant,paraphrase
antelope|boar|beetle,"Reply with only boar or beetle. Compared with antelope, which option is closer in meaning?",Beetle.,paraphrase
antelope|boar|bird,"Reply with only boar or bird. Compared with antelope, which option is closer in meaning?",boar,paraphrase
antelope|boar|file,"Reply with only boar or file. Compared with antelope, which option is closer in meaning?",file,paraphrase
antelope|boar|chocolate,"Reply with only boar or chocolate. Compared with antelope, which option is closer in meaning?",chocolate,paraphrase
antelope|boar|bench,"Reply with only boar or bench. Compared with antelope, which option is closer in meaning?",bench,paraphrase
antelope|boar|missile,"Reply with only boar or missile. Compared with antelope, which option is closer in meaning?",boar,paraphrase
antelope|boar|tree,"Reply with only boar or tree. Compared with antelope, which option is closer in meaning?",boar,paraphrase
antelope|boar|bassoon,"Reply with only boar or bassoon. Compared with antelope, which option is closer in meaning?",bassoon,paraphrase
antelope|boar|artichoke,"Reply with only boar or artichoke. Compared with antelope, which option is closer in meaning?",boar,paraphrase
antelope|boar|blender,"Reply with only boar or blender. Compared with antelope, which option is closer in meaning?",blender,paraphrase
antelope|boar|dress,"Reply with only boar or dress. Compared with antelope, which option is closer in meaning?",boar,paraphrase
antelope|boar|car,"Reply with only boar or car. Compared with antelope, which option is closer in meaning?",car,paraphrase
antelope|boar|crowbar,"Reply with only boar or crowbar. Compared with antelope, which option is closer in meaning?",crowbar,paraphrase
antelope|boar|cactus,"Reply with only boar or cactus. Compared with antelope, which option is closer in meaning?",cactus,paraphrase
antelope|boar|candle,"Reply with only boar or candle. Compared with antelope, which option is closer in meaning?",Candle,paraphrase
antelope|boar|burrito,"Reply with only boar or burrito. Compared with antelope, which option is closer in meaning?",burrito,paraphrase
antelope|boar|bell,"Reply with only boar or bell. Compared with antelope, which option is closer in meaning?",bell,paraphrase
antelope|boar|drill,"Reply with only boar or drill. Compared with antelope, which option is closer in meaning?",Drill.,paraphrase
antelope|boar|blackberry,"Reply with only boar or blackberry. Compared with antelope, which option is closer in meaning?",Blackberry.,paraphrase
antelope|boar|tumbleweed,"Reply with only boar or tumbleweed. Compared with antelope, which option is closer in meaning?",boar,paraphrase
antelope|cheetah|beaver,"Reply with only cheetah or beaver. Compared with antelope, which option is closer in meaning?",Cheetah.,paraphrase
antelope|cheetah|anteater,"Reply with only cheetah or anteater. Compared with antelope, which option is closer in meaning?",Cheetah.,paraphrase
antelope|cheetah|bear,"Reply with only cheetah or bear. Compared with antelope, which option is closer in meaning?",Cheetah.,paraphrase
antelope|cheetah|ostrich,"Reply with only cheetah or ostrich. Compared with antelope, which option is closer in meaning?",Cheetah.,paraphrase
