concept,rep,prompt,response
accordion,0,"List the features and properties of a accordion. Give a plain list, one property per line, no explanations.","Foldable panels
Expandable bellows
Single or multiple reeds
Adjustable pitch
Melodic playing
Harmonic accompaniment
Corto and basso registers"
accordion,1,"List the features and properties of a accordion. Give a plain list, one property per line, no explanations.",Foldable: Wooden: Strings: Melodic: Button-based: Portable: Hinged: Musical: Sound-producing: Hand-played: Bellows-operated:
accordion,2,"List the features and properties of a accordion. Give a plain list, one property per line, no explanations.",Foldable: Collapsible: Musical instrument: Rectangular shape: Bass and treble notes: Sound producing: Hand-played: Material: Wood or plastic: Strips of material: Keys:
acorn,0,"List the features and properties of a acorn. Give a plain list, one property per line, no explanations.","- Seed
- Nut
- Small
- Hard outer shell
- Woody
- Oval shape
- Brown color
- Contains a single embryo
- Single large seed leaf (cotyledon)
- Stored food (endosperm)
- Covered by a cap (operculum)"
acorn,1,"List the features and properties of a acorn. Give a plain list, one property per line, no explanations.","Acorns are:
- Round in shape
- Encased in a tough, protective shell
- Contain a seed within, typically one or more
- Generally small in size
- Brown in color
- Composed of a cap and a body (fruit)
- Produced by oak trees"
acorn,2,"List the features and properties of a acorn. Give a plain list, one property per line, no explanations.","- Small size
- Rough, brown outer shell
- Hard, protective shell
- Contains nutrients for growth into an oak tree
- Embryo inside capable of germination
- Typically found on oak tree branches"
airplane,0,"List the features and properties of a airplane. Give a plain list, one property per line, no explanations.",WingsFuel tankLanding gearEnginesFuselageSeatsPilot cabinPassenger cabinLanding gearHydraulic systemAvionicsNavigation systemComposites/materials
airplane,1,"List the features and properties of a airplane. Give a plain list, one property per line, no explanations.",WingsFuel tankBodyLegsWheelsEnginesPilot seatsWindowsLanding gearLanding gear doors
airplane,2,"List the features and properties of a airplane. Give a plain list, one property per line, no explanations.","Wings
Fuselage
Tail
Engines
Landing gear
Airspeed indicator
Altimeter
Compass
Fuel tanks
Radio
Navigational lights"
aloe,0,"List the features and properties of a aloe. Give a plain list, one property per line, no explanations.","- Thick, fleshy leaves
- No flowering stems
- Unarmed
- Perennial
- Succulent
- Spiky leaves"
aloe,1,"List the features and properties of a aloe. Give a plain list, one property per line, no explanations.","- Aloe is a succulent plant species.
- It has thick leaves with serrated edges.
- The leaves exude a clear, gel-like substance when cut.
- The gel is known for its soothing properties.
- Aloe vera is often used topically for skin care and burns.
- It has medicinal properties, including anti-inflammatory effects.
- Leaves are usually green with a white marginal band.
- The plant can be drought-tolerant once established.
- It has a rosette form with toothed, lance-shaped leaves.
- Aloe can grow up to 1.5 meters tall.
- Its flowers are typically yellow and appear in clusters."
aloe,2,"List the features and properties of a aloe. Give a plain list, one property per line, no explanations.","Has a gelatinous substance in its leaves
Has a serrated edge
Is a succulent plant
Is a member of the plant family Asphodelaceae
Has fleshy leaves
Is often used in skincare products"
ant,0,"List the features and properties of a ant. Give a plain list, one property per line, no explanations.","Eusocial insect
Three body segments
Antennae
Compound eyes
Three pairs of legs
Pheromone glands
Strong mandibles"
ant,1,"List the features and properties of a ant. Give a plain list, one property per line, no explanations.","Antennae for sensing
Three distinct body regions: head, thorax, and abdomen
Compound eyes for vision
Jaws and mandibles for cutting and carrying
Six legs for movement
Two pair of wings in some species (flying ants)
Carpenter ants can tunnel through wood
Ants are social insects, living in colonies
Various roles within the colony (workers, queens, drones)
Capable of carrying many times their body weight"
ant,2,"List the features and properties of a ant. Give a plain list, one property per line, no explanations.","Ants are social insects
Ants are divided into castes
Ants have a narrow waist
Ants have elbowed antennae
Ants have powerful jaws
Ants have compound eyes
Ants have two pairs of wings (in queens and males)"
anteater,0,"List the features and properties of a anteater. Give a plain list, one property per line, no explanations.","Anteaters have a long, narrow snout.
They have a sticky tongue that can be as long as their body.
They eat mostly ants and termites.
Their sense of smell is highly developed.
They have small eyes and ears.
They have sharp, curved claws on their front and hind feet.
They can dig into ant nests for food.
They have thick, coarse hair that provides protection.
They can live for up to 15 years in the wild."
anteater,1,"List the features and properties of a anteater. Give a plain list, one property per line, no explanations.","Long, sticky tongue; elongated snout; narrow head; sharp claws; small eyes; coarse hair; slow movement; insectivorous diet; primarily found in Central and South America"
anteater,2,"List the features and properties of a anteater. Give a plain list, one property per line, no explanations.","- No teeth
- Long, sticky tongue
- Ears without external openings
- Sharp claws on digits
- Pointed snout
- Thick, elongated tail
- Short legs
- Long, slender body
- Noxious scent gland near anus"
antelope,0,"List the features and properties of a antelope. Give a plain list, one property per line, no explanations.","Antelopes have horns; they are herbivorous; they have cloven hooves; they have keen senses of sight and smell; they are generally agile and swift; they live in herds for protection; they have long legs for speed and height; they are ruminants, meaning they have a four-chambered stomach for digesting plant material."
antelope,1,"List the features and properties of a antelope. Give a plain list, one property per line, no explanations.","Antelope have long legs, short fur, large eyes, pointy ears, hooves, acute sense of smell, fast sprinters, live in herds, and are herbivorous."
antelope,2,"List the features and properties of a antelope. Give a plain list, one property per line, no explanations.","- Ruminant
- Horns (in males)
- Even-toed ungulate
- Single hoofed
- Agile and graceful
- Relatively long legs
- Caprines (related to goats and sheep)
- Live in herds
- Diurnal
- Excellent sense of smell and hearing
- Good jumper and runner
- Vary in size and color depending on species"
anvil,0,"List the features and properties of a anvil. Give a plain list, one property per line, no explanations.","- Made of steel or iron
- Heavy and durable
- Smooth top surface
- Often includes a horn and face
- Used for forging and shaping metal"
anvil,1,"List the features and properties of a anvil. Give a plain list, one property per line, no explanations.","- Heavy
- Usually made of steel
- Durable
- Hard
- Resilient
- Smooth
- Flat on top
- Holes or mounting points for straps or chains
- Generally weighs around 100-300 lbs (45-136 kg) for standard anvils"
anvil,2,"List the features and properties of a anvil. Give a plain list, one property per line, no explanations.","- Heavy
- Durable
- Hard
- Smooth
- Heat-resistant
- Resistant to impact"
apple,0,"List the features and properties of a apple. Give a plain list, one property per line, no explanations.","- Round shape
- Red or green color
- Edible skin
- Seed-filled core
- Sweet taste
- Crunchy texture"
apple,1,"List the features and properties of a apple. Give a plain list, one property per line, no explanations.","- Round shape
- Red or green skin
- Crunchy texture
- Soft creamy flesh
- Seed cavity
- Sweet taste
- Small size
- Originating from trees"
apple,2,"List the features and properties of a apple. Give a plain list, one property per line, no explanations.","- Round shape
- Red, green, or yellow skin
- Crunchy texture
- Seed-filled core
- Sweet flavor
- Portable
- Nutrient-dense
- Edible skin"
artichoke,0,"List the features and properties of a artichoke. Give a plain list, one property per line, no explanations.","Leafy vegetable originating from the species Cynara cardunculus Plants belonging to the Asteraceae family Edible bud enclosed in tough, scaly leaves with a fibrous texture Rich in dietary fiber, vitamins, and minerals, particularly potassium and folate The bud is prepared by cooking the larger outer leaves and removing the edible inner parts, known as ""chokes"" or ""hearts"""
artichoke,1,"List the features and properties of a artichoke. Give a plain list, one property per line, no explanations.","- Globally recognized vegetable
- Belongs to the sunflower family
- Heart shaped
- Leaves are edible
- Protected by tough outer leaves
- Edible flower
- Rich in vitamins C and K
- High in fiber
- Low in calories"
artichoke,2,"List the features and properties of a artichoke. Give a plain list, one property per line, no explanations.","Artichoke leaves are edible
Artichokes grow in clusters
Artichokes are thorny
Artichokes have a fibrous texture when raw
Artichokes are green
Artichokes have a unique, slightly nutty flavor
Artichokes are high in fiber
Artichokes are low in calories
Artichokes contain vitamins C and K"
asparagus,0,"List the features and properties of a asparagus. Give a plain list, one property per line, no explanations.","- Green color
- Speckled skin
- Edible spear shape
- Mild, slightly bitter flavor
- High in antioxidants
- Low in calories
- Rich in vitamin K
- Contain folate and fiber
- Versatile in cooking
- Associated with anti-inflammatory effects"
asparagus,1,"List the features and properties of a asparagus. Give a plain list, one property per line, no explanations.","- Green in color
- Long and slender
- Edible
- Rich in vitamins A, B, C, and K
- Low in calories
- High in dietary fiber
- Contains antioxidants
- Packed with folate and potassium"
asparagus,2,"List the features and properties of a asparagus. Give a plain list, one property per line, no explanations.","- Green color in its raw state
- Thin, spear-like appearance
- Tender, crunchy texture when cooked
- Mild, earthy flavor
- Nutrient-rich, high in vitamins A, C, and K, fiber, folate, and antioxidants
- Belongs to the family Asparagaceae
- Native to Europe and North Africa, naturalized in parts of Asia
- Grows in clusters, sprouting from the ground
- Uses include culinary, ornamental planting, and medicinal purposes"
avocado,0,"List the features and properties of a avocado. Give a plain list, one property per line, no explanations.","- Persea americana is the scientific name
- It is a type of berry
- It has a large seed
- It has a green or purple-black skin
- It can be pear-shaped or spherical
- It has a creamy texture
- It has a smooth skin
- It has a high fat content
- It is rich in monounsaturated fatty acids
- It is a good source of fiber
- It is high in vitamins and minerals
- It has a mild, buttery flavor
- It is often used in guacamole and salads"
avocado,1,"List the features and properties of a avocado. Give a plain list, one property per line, no explanations.","- green color
- oval shape
- single seed
- creamy texture
- high in healthy fats
- rich in vitamins and minerals
- good source of fiber
- high in potassium
- versatile in cooking and taste"
avocado,2,"List the features and properties of a avocado. Give a plain list, one property per line, no explanations.","- Persea americana is the scientific name
- Originating from south-central Mexico
- Broad, pear-shaped fruit
- Green skin with a slightly bumpy texture
- Contain a large, single seed
- Flesh is creamy and pale green
- High in healthy fats and fiber
- Rich in vitamins and minerals
- Nutrient-dense and energy-providing
- Taste is mild and buttery
- Cholesterol-free and low in calories
- Versatile in culinary uses"
axe,0,"List the features and properties of a axe. Give a plain list, one property per line, no explanations.","Blade material - Steel, Wooden handle, Single-edge design, Curved blade, Straight shaft, Riveted handle, Weighted for balance and control, Robust construction, Can be used for both chopping and splitting wood"
axe,1,"List the features and properties of a axe. Give a plain list, one property per line, no explanations.","Blade type (single or double bit)
Handle material (wood, synthetic resin)
Shaft length
Edge alignment
Edge grind (straight, hollow, or convex)
Hilt or guard
Ferrule
Weight
Balance point"
axe,2,"List the features and properties of a axe. Give a plain list, one property per line, no explanations.",Blade Material: Steel Handle Material: Wood Weight: Heavier than a hatchet Head Type: Single-edged Edge Orientation: Curved Overall Length: Longer than a hatchet Balance: Heavier focus toward the head
bagel,0,"List the features and properties of a bagel. Give a plain list, one property per line, no explanations.","Round in shape
Hollow inside
Crust
Doughy interior
Bagel hole
Baked"
