concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile class
Large size
Armored skin
Powerful tail
Crocodilian order
Duckbill shape
Sharp teeth
Ambush predator
Cold-blooded
Lays eggs
Habits both aquatic and terrestrial
Sexual dimorphism
Ectothermic
Strong jaws
Long snout
Camouflaging coloration
Binocular vision
Long lifespan"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile class
Large size
Armored skin
Mouth filled with teeth
Strong tail
Webbed feet
Ambush predator
Aquatic and terrestrial
Distinctive V-shaped snout
Scales cover body
Cold-blooded temperature regulation
Long lifespan
Sexual dimorphism
Strong jaw muscles
Camouflage coloration"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile class
Large size
Armored skin
Powerful tail
Sharp jaws
Rows of teeth
Ambush predator
Cold-blooded metabolism
Distinctive V-shaped snout
Camouflage coloration
Eggs laid in nests
Longevity up to decades
Aquatic and terrestrial habitats
Strong limbs for walking and swimming
Scales cover body and tail
Intelligent behavior
Social structures in some species
Good sense of smell
Hearing but limited ability to hear high frequencies"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Scale-covered skin
Powerful tail
Strong jaws
Sharp teeth
Four legs
Webbed feet
Bony plate armor (scutes)
Cold-blooded
Reptile
Long snout
Good vision
Hearing through lower jaw
Poor sense of smell
Can remain still for hours
Can regrow teeth
Salt-excreting glands
Lays eggs
Sex determination by temperature
Strong swimmer
Can breathe out of water"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile class
Has four legs
Sharp teeth
Skin covered in scales
Powerful tail
Cold-blooded
Ambient temperature affects body temperature
Eggs are laid and hatch externally
Strong jaw muscles
Camouflage coloration
Able to stay submerged for hours
Fossorial tendencies
Aquatic and semi-aquatic
Predominantly carnivorous
Have eyelids and nostrils that can close underwater
Can regrow lost teeth
Have binocular vision
Can breathe through skin in addition to lungs
Sex determination influenced by incubation temperature
Social during mating season"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Material composition
Weight
Durability
Size
Shape
Strength
Surface finish
Texture
Color
Purpose
Design variability
Versatility in applications
Maintenance requirements"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Material
Height
Width
Depth
Weight
Durability
Strength
Surface Finish
Design Style
Hinge Capacity
Support Load
Ergonomics
Sound Absorption
Heat Resistance
Electrostatic Discharge Protection
Adjustability"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Material
Weight
Strength
Durability
Size
Shape
Design
Function
Versatility
Cost
Aesthetics
Finish
Production Method
Maintenance Requirements
Safety Features
Load Capacity"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Material
Weight
Sturdiness
Height
Width
Depth
Design
Color
Surface Finish
Support Capacity
Versatility
Durability
Maintenance Requirements"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Material
Weight
Strength
Durability
Shape
Size
Design
Function
Price
Availability
Color
Finish
Texture
Versatility
Durability"
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Blade
Handle
Head
Head Material
Handle Material
Head Shape
Weight
Size
Blunt Edge
Sharp Edge
Used for Cutting
Used for Splitting Wood
Agricultural Tool
Combat Weapon
Hand Tool"
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Blade
Handle
Head
Handcrafted options
Metal components
Wooden handle
Stone head
Butt end
Two-handed use
Single-handed use
V-shaped notch
Flintknapped edges
Stone axeheads
Iron axeheads
Steel axeheads
Birchwood handles
Maplewood handles
Chopping capability
Splitting capability
Versatile tool
Hand tool
Weapon potential"
Axe,2,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Blade
Handle
Head
Used for chopping
Made of metal
Handle made of wood or synthetic material
Two-sided
Has an eye for tying a rope
Weighted head
Used for splitting wood
Can be used for self-defense"
