input,prompt,response
Shovel|Alligator|Spanner,Answer using only one word - Alligator or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,"Alligator or Spanner?
A."
Anvil|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,"Caiman or Tortoise?
I"
Nail|Boa python|Snake,Answer using only one word - Boa python or Snake and not Nail. Which is more similar in semantic meaning to Nail?,"Why?
Answer using only one word -"
Paint brush|Chisel|Toad,Answer using only one word - Chisel or Toad and not Paint brush. Which is more similar in semantic meaning to Paint brush?,"Why?
Answer using only one word -"
Shovel|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Shovel. Which is more similar in semantic meaning to Shovel?,"Caiman or Crocodile?
Answer"
Alligator|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Alligator. Which is more similar in semantic meaning to Alligator?,"Gecko or Salamander?
A."
Cobra|Boa python|Turtle,Answer using only one word - Boa python or Turtle and not Cobra. Which is more similar in semantic meaning to Cobra?,"Why?
Answer using only one word -"
Oil can|Grinding disk|Hammer,Answer using only one word - Grinding disk or Hammer and not Oil can. Which is more similar in semantic meaning to Oil can?,"Why?
Answer using only one word -"
Paint brush|Lizard|Spanner,Answer using only one word - Lizard or Spanner and not Paint brush. Which is more similar in semantic meaning to Paint brush?,"Why?
Answer using only one word -"
Gecko|Axe|Vacuum,Answer using only one word - Axe or Vacuum and not Gecko. Which is more similar in semantic meaning to Gecko?,"Why?
Axe or Vacuum and not"
Toad|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,"Caiman or Tortoise?
Answer"
Chameleon|Cobra|Shovel,Answer using only one word - Cobra or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,"Cobra or Shovel?
I think the"
Anvil|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,"Chisel or Grinding disk?
I think"
Saw|Alligator|Caiman,Answer using only one word - Alligator or Caiman and not Saw. Which is more similar in semantic meaning to Saw?,"Alligator or Caiman?
I"
Paint brush|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Paint brush. Which is more similar in semantic meaning to Paint brush?,"Lawn Mower or Lizard?
Answer"
Hammer|Blindworm|Lizard,Answer using only one word - Blindworm or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,"Why?
Answer using only one word -"
Blindworm|Anvil|Axe,Answer using only one word - Anvil or Axe and not Blindworm. Which is more similar in semantic meaning to Blindworm?,"Anvil or Axe?
A. An"
Dinosaur|Anvil|Crocodile,Answer using only one word - Anvil or Crocodile and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,"Anvil or Crocodile?
I think"
Knife|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Knife. Which is more similar in semantic meaning to Knife?,"Crocodile or Turtle?
A. Cro"
Anvil|Lizard|Toad,Answer using only one word - Lizard or Toad and not Anvil. Which is more similar in semantic meaning to Anvil?,"Lizard or Toad?
I think"
Lizard|Snake|Spanner,Answer using only one word - Snake or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,"Why?
Answer using only one word -"
Caiman|Gecko|Paint brush,Answer using only one word - Gecko or Paint brush and not Caiman. Which is more similar in semantic meaning to Caiman?,"Gecko or Paint brush?
Answer using only"
Snake|Caiman|Knife,Answer using only one word - Caiman or Knife and not Snake. Which is more similar in semantic meaning to Snake?,"Caiman or Knife?
I think"
Knife|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Knife. Which is more similar in semantic meaning to Knife?,"Caiman or Crocodile?
I"
Lawn Mower|Chameleon|Nail,Answer using only one word - Chameleon or Nail and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,"Chameleon or Nail?
A. Ch"
Lizard|Turtle|Vacuum,Answer using only one word - Turtle or Vacuum and not Lizard. Which is more similar in semantic meaning to Lizard?,"Turtle or Vacuum?
I think the answer"
Gecko|Chisel|Knife,Answer using only one word - Chisel or Knife and not Gecko. Which is more similar in semantic meaning to Gecko?,"Chisel or Knife?
I think the"
Tortoise|Blindworm|Paint brush,Answer using only one word - Blindworm or Paint brush and not Tortoise. Which is more similar in semantic meaning to Tortoise?,"Why?
Answer using only one word -"
Dinosaur|Gecko|Knife,Answer using only one word - Gecko or Knife and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,"Why?
Answer using only one word -"
Oil can|Chisel|Crocodile,Answer using only one word - Chisel or Crocodile and not Oil can. Which is more similar in semantic meaning to Oil can?,"Chisel or Crocodile?
A."
Chisel|Alligator|Saw,Answer using only one word - Alligator or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,"Why?
Answer using only one word -"
Tortoise|Grinding disk|Oil can,Answer using only one word - Grinding disk or Oil can and not Tortoise. Which is more similar in semantic meaning to Tortoise?,"Why?
Answer using only one word -"
Grinding disk|Blindworm|Oil can,Answer using only one word - Blindworm or Oil can and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,"Blindworm or Oil can?
A."
Toad|Hammer|Lawn Mower,Answer using only one word - Hammer or Lawn Mower and not Toad. Which is more similar in semantic meaning to Toad?,"Why?
Answer using only one word -"
Knife|Gecko|Lizard,Answer using only one word - Gecko or Lizard and not Knife. Which is more similar in semantic meaning to Knife?,"Gecko or Lizard?
Answer using only"
Caiman|Chameleon|Spanner,Answer using only one word - Chameleon or Spanner and not Caiman. Which is more similar in semantic meaning to Caiman?,"Chameleon or Spanner?
Chameleon"
Oil can|Chisel|Gecko,Answer using only one word - Chisel or Gecko and not Oil can. Which is more similar in semantic meaning to Oil can?,"Chisel or Gecko?
A. Ch"
Crocodile|Grinding disk|Turtle,Answer using only one word - Grinding disk or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,"Why?
Answer using only one word -"
Nail|Knife|Lawn Mower,Answer using only one word - Knife or Lawn Mower and not Nail. Which is more similar in semantic meaning to Nail?,"Why?
Answer using only one word -"
Snake|Knife|Oil can,Answer using only one word - Knife or Oil can and not Snake. Which is more similar in semantic meaning to Snake?,"Why?
Answer using only one word -"
Lawn Mower|Axe|Caiman,Answer using only one word - Axe or Caiman and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,"Axe or Caiman?
Axe"
Anvil|Lizard|Saw,Answer using only one word - Lizard or Saw and not Anvil. Which is more similar in semantic meaning to Anvil?,"Lizard or Saw?
I think the"
Shovel|Cobra|Toad,Answer using only one word - Cobra or Toad and not Shovel. Which is more similar in semantic meaning to Shovel?,"Cobra or Toad?
A. Cobra"
Alligator|Blindworm|Lawn Mower,Answer using only one word - Blindworm or Lawn Mower and not Alligator. Which is more similar in semantic meaning to Alligator?,"Why?
Answer using only one word -"
Crocodile|Cobra|Salamander,Answer using only one word - Cobra or Salamander and not Crocodile. Which is more similar in semantic meaning to Crocodile?,"Cobra or Salamander?
The word"
Caiman|Chisel|Salamander,Answer using only one word - Chisel or Salamander and not Caiman. Which is more similar in semantic meaning to Caiman?,"Chisel or Salamander?
Answer"
