concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Large size
2. Armored scales
3. Strong tail
4. Broad, rounded snout
5. Powerful jaws
6. No external ears
7. No visible legs when swimming
8. Excellent swimmer
9. Carnivorous diet
10. Strong sense of smell
11. Excellent night vision
12. No tail barb for defense
13. Armored plates on neck
14. Long, muscular legs on land
15. Cold-blooded
16. Camouflage skin
17. Sharp teeth
18. Social animals
19. Female builds nest
20. Large, protective bony plates (scutes) on snout
21. Wide, paddle-like tail
22. Webbed feet"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Large jaws
2. Scaly skin
3. Strong tail
4. Powerful legs
5. Webbed feet
6. No eyelids
7. Cold-blooded
8. Carnivorous diet
9. Aquatic habitat
10. Sharp teeth
11. Armored snout
12. Sensitive sense of smell
13. Good swimmers
14. Large eyes
15. Thick skin
16. Herbivorous young
17. Long lifespan
18. Snout shape
19. Long snout
20. Strong jaws' locking mechanism"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Here's a list of features and properties of an alligator:

1. Large size
2. Scaly skin
3. Triangular snout
4. Powerful jaws
5. Strong tail
6. Webbed feet
7. Armored plates
8. Sharp teeth
9. No external ear openings
10. Lay eggs
11. Semi-aquatic lifestyle
12. Cold-blooded
13. Carnivorous diet
14. Strong sense of smell
15. Good swimmers
16. Camouflage coloration
17. Large eyes
18. Broad head
19. Short legs
20. Strong muscles"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Large reptile
2. Carnivorous diet
3. Strong jaw muscles
4. Armored skin
5. Webbed feet
6. Conical snout
7. Powerful tail
8. No external ears
9. No external eyelids
10. Cold-blooded
11. Lay eggs
12. Burrowing behavior
13. Generally solitary
14. Large eyes
15. Salt-excreting glands
16. Strong sense of smell
17. Found in wet environments
18. Large canine teeth
19. Scaly skin
20. Semi-aquatic lifestyle"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. Large reptile
2. Carnivorous diet
3. Scaly skin
4. Webbed feet
5. Powerful jaws
6. Strong tail
7. Large teeth
8. Aquatic and semi-aquatic environment
9. Bony plates (scutes) on back
10. No external ear openings
11. Cold-blooded
12. Large size (up to 14 feet)
13. Sharp snout
14. Strong sense of smell
15. Poor eyesight
16. Amphibious
17. Herbivorous young
18. Armored head
19. 80-100 years lifespan
20. Two pairs of legs"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Heavy and dense
2. Typically made of steel or cast iron
3. Has a flat surface for hammering
4. Often has a handle or loop for lifting
5. Can be used for shaping and forming metal
6. May have a horn or protrusion for holding workpieces
7. Can be used for breaking apart objects
8. Often used in metalworking and blacksmithing
9. Can be heated to alter the metal being worked on
10. May be used for pounding and shaping stones or rocks
11. Can be used as a makeshift hammer or mallet
12. May be attached to a vise or other support for stability
13. Available in various sizes and weights
14. Can be used in a variety of industries, including engineering and construction
15. Has a long history of use dating back to ancient times
16. May be coated or plated to prevent rust and corrosion
17. Often used in conjunction with other tools and equipment
18. Can be used for demolition and breaking up objects
19. May be used for forming and shaping hot metal
20. Can be used in a variety of environments, including outdoor and industrial settings."
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Metal or alloy composition
2. Durable construction
3. Heavy weight
4. Flat or curved surface
5. Handles for lifting
6. Hardened striking surface
7. Heat-resistant materials
8. Strong and sturdy structure
9. V-shape or flat shape
10. Made from steel or iron
11. Used for shaping and forming metal
12. Can be made from various materials
13. Can withstand high temperatures
14. Used in blacksmithing and metalworking
15. Can be used for hammering or shaping
16. Can be used in various industries
17. Requires proper maintenance
18. Can be used with a sledgehammer
19. Can be used for multiple tasks
20. Typically rectangular or square shape"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Heavy metal or alloy composition
2. Flat or raised surface
3. Wedge-shaped horn or edge
4. Base plate or foot
5. Handle or grip
6. Weight reduction features (e.g. holes or indentations)
7. Surface hardening or heat treatment
8. Anvil stand or support
9. Measuring marks or scales
10. Forging or hammering surface area"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Here's a list of features and properties of an anvil:

1. Heat-resistant metal body
2. Steel or cast iron construction
3. Flat or curved striking surface
4. Horn or projection for holding workpieces
5. V-groove or hole for hammering
6. Handles or lifting points for easy movement
7. Weight ranges from a few pounds to several hundred pounds
8. Can be made from various materials like steel, cast iron, or wrought iron
9. Often features a metal support or base for stability
10. Can be used for various tasks like blacksmithing, metalworking, or carpentry."
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","1. Heavy metal construction
2. Hardened steel or iron composition
3. Flat, broad surface
4. Wedge-shaped or tapered edges
5. Used for shaping and breaking objects
6. Can be mounted on a stand or anvil block
7. Often has a handle or horns for gripping
8. Can be made from various metals, such as steel, iron, or bronze
9. Typically has a flat anvil face and a rounded or tapered anvil edge
10. Used in various industries, including blacksmithing and metalworking
11. Can be used for hammering, shaping, and forming metal
12. Often has a hardened steel or alloy base
13. May have a dead blow or striking surface
14. Can be used with various types of hammers and mallets
15. Important for shaping and working with hot metal
16. Can be used for riveting, shaping, and bending metal
17. Typically made from a heat-treated metal
18. Often used in workshops, factories, and industrial settings
19. May have a weight or balance for stability
20. Used for shaping and forming metal into various shapes and forms"
