input,prompt,response
Alligator|Alligator,logprob,7
Alligator|Blindworm,logprob,1
Alligator|Boapython,logprob,4
Alligator|Caiman,logprob,6
Alligator|Chameleon,logprob,3
Alligator|Cobra,logprob,3
Alligator|Crocodile,logprob,7
Alligator|Dinosaur,logprob,3
Alligator|Gecko,logprob,1
Alligator|Lizard,logprob,4
Alligator|Salamander,logprob,2
Alligator|Snake,logprob,4
Alligator|Toad,logprob,1
Alligator|Tortoise,logprob,2
Alligator|Turtle,logprob,3
Alligator|Anvil,logprob,3
Alligator|Axe,logprob,1
Alligator|Chisel,logprob,3
Alligator|Grindingdisk,logprob,1
Alligator|Hammer,logprob,2
Alligator|Knife,logprob,1
Alligator|LawnMower,logprob,1
Alligator|Nail,logprob,1
Alligator|Oilcan,logprob,1
Alligator|Paintbrush,logprob,1
Alligator|Saw,logprob,4
Alligator|Screwdriver,logprob,3
Alligator|Shovel,logprob,3
Alligator|Spanner,logprob,3
Alligator|Vacuum,logprob,1
Blindworm|Alligator,logprob,1
Blindworm|Blindworm,logprob,7
Blindworm|Boapython,logprob,1
Blindworm|Caiman,logprob,1
Blindworm|Chameleon,logprob,1
Blindworm|Cobra,logprob,1
Blindworm|Crocodile,logprob,1
Blindworm|Dinosaur,logprob,1
Blindworm|Gecko,logprob,1
Blindworm|Lizard,logprob,1
Blindworm|Salamander,logprob,4
Blindworm|Snake,logprob,4
Blindworm|Toad,logprob,1
Blindworm|Tortoise,logprob,1
Blindworm|Turtle,logprob,3
Blindworm|Anvil,logprob,4
Blindworm|Axe,logprob,1
Blindworm|Chisel,logprob,1
Blindworm|Grindingdisk,logprob,1
Blindworm|Hammer,logprob,4
Blindworm|Knife,logprob,1
Blindworm|LawnMower,logprob,3
Blindworm|Nail,logprob,1
Blindworm|Oilcan,logprob,1
Blindworm|Paintbrush,logprob,1
Blindworm|Saw,logprob,1
Blindworm|Screwdriver,logprob,4
Blindworm|Shovel,logprob,1
Blindworm|Spanner,logprob,2
Blindworm|Vacuum,logprob,1
Boapython|Alligator,logprob,6
Boapython|Blindworm,logprob,4
Boapython|Boapython,logprob,7
Boapython|Caiman,logprob,6
Boapython|Chameleon,logprob,3
Boapython|Cobra,logprob,6
Boapython|Crocodile,logprob,4
Boapython|Dinosaur,logprob,3
Boapython|Gecko,logprob,4
Boapython|Lizard,logprob,4
Boapython|Salamander,logprob,3
Boapython|Snake,logprob,6
Boapython|Toad,logprob,5
Boapython|Tortoise,logprob,6
Boapython|Turtle,logprob,6
Boapython|Anvil,logprob,4
Boapython|Axe,logprob,7
Boapython|Chisel,logprob,6
Boapython|Grindingdisk,logprob,4
Boapython|Hammer,logprob,6
Boapython|Knife,logprob,4
Boapython|LawnMower,logprob,4
Boapython|Nail,logprob,6
Boapython|Oilcan,logprob,4
Boapython|Paintbrush,logprob,1
Boapython|Saw,logprob,6
Boapython|Screwdriver,logprob,4
Boapython|Shovel,logprob,6
Boapython|Spanner,logprob,4
Boapython|Vacuum,logprob,4
Caiman|Alligator,logprob,6
Caiman|Blindworm,logprob,4
Caiman|Boapython,logprob,4
Caiman|Caiman,logprob,7
Caiman|Chameleon,logprob,3
Caiman|Cobra,logprob,4
Caiman|Crocodile,logprob,6
Caiman|Dinosaur,logprob,1
Caiman|Gecko,logprob,1
Caiman|Lizard,logprob,3
Caiman|Salamander,logprob,3
Caiman|Snake,logprob,2
Caiman|Toad,logprob,1
Caiman|Tortoise,logprob,4
Caiman|Turtle,logprob,1
Caiman|Anvil,logprob,4
Caiman|Axe,logprob,4
Caiman|Chisel,logprob,4
Caiman|Grindingdisk,logprob,1
Caiman|Hammer,logprob,4
Caiman|Knife,logprob,4
Caiman|LawnMower,logprob,3
Caiman|Nail,logprob,4
Caiman|Oilcan,logprob,4
Caiman|Paintbrush,logprob,4
