concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Reptile
- Cold-blooded
- Scales
- Predators
- Strong jaws
- Sharp teeth
- Tail for propulsion
- Rough skin
- Four legs
- Nostrils at tip of snout
- Dorsal crest
- Poor eyesight
- Excellent sense of smell
- Waterproof eyelids
- Webbed feet
- Carnivorous
- Long lifespan
- Solitary nature
- Tough scutes
- Males larger than females
- Nest builders
- Incubation temperature determines sex
- Crocodilian family
- Armored body
- Adults have no natural predators
- Vocalizations for communication"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Reptile
- Scaly skin
- Cold-blooded
- Sharp teeth
- Strong jaws
- Large body
- Short legs
- Long tail
- Excellent swimmer
- Carnivorous
- Nostrils on top of snout
- Dorsal ridges
- Four toes on front feet, five on back
- Rough, armored belly
- Green, brown, or black color
- Lives in freshwater habitats
- Good night vision
- Vestigial diaphragm
- Sexual dimorphism
- Monogamous in some species
- Mucous membrane lining mouth
- Vital organs protected by rib cage
- Highly developed muscles for jaw closing
- Poor muscle control for opening jaws
- Horizontal pupils
- Species: Alligator mississippiensis (American Alligator) or Alligator sinensis (Chinese Alligator)"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Reptile
- Crocodilian
- Scaly skin
- Cold-blooded
- Strong tail
- Sharp teeth
- Excellent swimmer
- Amphibious
- Carnivorous
- Four legs
- Lateral line system
- Armored body
- Eyes on top of head
- Nostrils at the end of snout
- Fourth toe on hind feet is clawless
- Females build nests for eggs
- Incubation period influences sex of offspring
- Lifespan up to 50 years in wild
- Highly territorial
- Can grow up to 15 feet (4.6 m) in length
- Powerful jaws"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile
Cold-blooded
Scaly skin
Dorsal ridge
Powerful tail
Sharp teeth
Webbed hind feet
V-shaped snout
Oval shaped eggs
Predator
Aquatic lifestyle
Poor eyesight on land
Good night vision
Long lifespan
Bony plates (osteoderms) under skin
Strong jaw muscles
Ambush predator
Excellent swimmers
Poor runners on land
Air breathing
Nostrils at top of snout
Ectothermic"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile
Amniote
Scaly skin
Ectothermic
Predator
Teeth
Sharp vision
Strong tail
Webbed feet
Swims well
Jaw strength
Night vision
Long lifespan
Oviparous
Territorial
Ambush predator
Poor running ability
Well adapted to water
Cold blooded
Nostrils at tip of snout
Dorsal ridges
Flexible back for swimming"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Hard surface 
Solid construction 
Stable base 
Durable material 
Flat top 
Weighty 
Rounded edges 
Heavy duty 
Made of steel or iron 
Non-porous surface 
Typically grey or black in color"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Hard surface 
Heavy weight 
Durable material 
Flat top 
Raised edges 
Smooth surface 
Wide base 
Stable structure 
Metal construction 
Forge accessory 
Impact resistant 
Wear resistant"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Hard
Durable
Massive
Flat surface
Rounded edges
Metal or stone
Heavy
Stable
Strike surface
Impact resistant"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Durability
Weight
Flat surface
Hardness
Typically made from iron or steel
Handle for lifting
Used for shaping metal
Smooth surface for workpiece placement
Designed for striking force absorption"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Durability
Weight 
Hardness
Surface Area for Striking
Shape 
Material Composition 
Heat Resistance 
Size 
Smoothness 
Wear Resistance 
Craftsmanship"
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Handle
Head
Blade
Edge
Weight
Balance
Material composition
Length
Shape
Head shape"
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","Blade
Handle
Haft
Head
Edge
Weight
Balance
Material 
Type (hatchet, felling axe, etc.)
Length"
