concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.",
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.",
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.",
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.",
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.",
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",
Axe,2,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",
Axe,3,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",
Axe,4,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",
Blindworm,0,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.",
Blindworm,1,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.",
Blindworm,2,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.",
Blindworm,3,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.",
Blindworm,4,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.",
Boa python,0,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.",
Boa python,1,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.",
Boa python,2,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.",
Boa python,3,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.",
Boa python,4,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.",
Caiman,0,"List the features and properties of a Caiman. Give a plain list, one property per line, no explanations.",
Caiman,1,"List the features and properties of a Caiman. Give a plain list, one property per line, no explanations.",
Caiman,2,"List the features and properties of a Caiman. Give a plain list, one property per line, no explanations.",
Caiman,3,"List the features and properties of a Caiman. Give a plain list, one property per line, no explanations.",
Caiman,4,"List the features and properties of a Caiman. Give a plain list, one property per line, no explanations.",
Chameleon,0,"List the features and properties of a Chameleon. Give a plain list, one property per line, no explanations.",
Chameleon,1,"List the features and properties of a Chameleon. Give a plain list, one property per line, no explanations.",
Chameleon,2,"List the features and properties of a Chameleon. Give a plain list, one property per line, no explanations.",
Chameleon,3,"List the features and properties of a Chameleon. Give a plain list, one property per line, no explanations.",
Chameleon,4,"List the features and properties of a Chameleon. Give a plain list, one property per line, no explanations.",
Chisel,0,"List the features and properties of a Chisel. Give a plain list, one property per line, no explanations.",
Chisel,1,"List the features and properties of a Chisel. Give a plain list, one property per line, no explanations.",
Chisel,2,"List the features and properties of a Chisel. Give a plain list, one property per line, no explanations.",
Chisel,3,"List the features and properties of a Chisel. Give a plain list, one property per line, no explanations.",
Chisel,4,"List the features and properties of a Chisel. Give a plain list, one property per line, no explanations.",
Cobra,0,"List the features and properties of a Cobra. Give a plain list, one property per line, no explanations.",
Cobra,1,"List the features and properties of a Cobra. Give a plain list, one property per line, no explanations.",
Cobra,2,"List the features and properties of a Cobra. Give a plain list, one property per line, no explanations.",
Cobra,3,"List the features and properties of a Cobra. Give a plain list, one property per line, no explanations.",
Cobra,4,"List the features and properties of a Cobra. Give a plain list, one property per line, no explanations.",
Crocodile,0,"List the features and properties of a Crocodile. Give a plain list, one property per line, no explanations.",
Crocodile,1,"List the features and properties of a Crocodile. Give a plain list, one property per line, no explanations.",
Crocodile,2,"List the features and properties of a Crocodile. Give a plain list, one property per line, no explanations.",
Crocodile,3,"List the features and properties of a Crocodile. Give a plain list, one property per line, no explanations.",
Crocodile,4,"List the features and properties of a Crocodile. Give a plain list, one property per line, no explanations.",
Dinosaur,0,"List the features and properties of a Dinosaur. Give a plain list, one property per line, no explanations.",
Dinosaur,1,"List the features and properties of a Dinosaur. Give a plain list, one property per line, no explanations.",
Dinosaur,2,"List the features and properties of a Dinosaur. Give a plain list, one property per line, no explanations.",
Dinosaur,3,"List the features and properties of a Dinosaur. Give a plain list, one property per line, no explanations.",
Dinosaur,4,"List the features and properties of a Dinosaur. Give a plain list, one property per line, no explanations.",
Gecko,0,"List the features and properties of a Gecko. Give a plain list, one property per line, no explanations.",
Gecko,1,"List the features and properties of a Gecko. Give a plain list, one property per line, no explanations.",
Gecko,2,"List the features and properties of a Gecko. Give a plain list, one property per line, no explanations.",
Gecko,3,"List the features and properties of a Gecko. Give a plain list, one property per line, no explanations.",
Gecko,4,"List the features and properties of a Gecko. Give a plain list, one property per line, no explanations.",
Grinding disk,0,"List the features and properties of a Grinding disk. Give a plain list, one property per line, no explanations.",
Grinding disk,1,"List the features and properties of a Grinding disk. Give a plain list, one property per line, no explanations.",
Grinding disk,2,"List the features and properties of a Grinding disk. Give a plain list, one property per line, no explanations.",
Grinding disk,3,"List the features and properties of a Grinding disk. Give a plain list, one property per line, no explanations.",
Grinding disk,4,"List the features and properties of a Grinding disk. Give a plain list, one property per line, no explanations.",
Hammer,0,"List the features and properties of a Hammer. Give a plain list, one property per line, no explanations.",
Hammer,1,"List the features and properties of a Hammer. Give a plain list, one property per line, no explanations.",
Hammer,2,"List the features and properties of a Hammer. Give a plain list, one property per line, no explanations.",
Hammer,3,"List the features and properties of a Hammer. Give a plain list, one property per line, no explanations.",
Hammer,4,"List the features and properties of a Hammer. Give a plain list, one property per line, no explanations.",
Knife,0,"List the features and properties of a Knife. Give a plain list, one property per line, no explanations.",
Knife,1,"List the features and properties of a Knife. Give a plain list, one property per line, no explanations.",
Knife,2,"List the features and properties of a Knife. Give a plain list, one property per line, no explanations.",
Knife,3,"List the features and properties of a Knife. Give a plain list, one property per line, no explanations.",
Knife,4,"List the features and properties of a Knife. Give a plain list, one property per line, no explanations.",
Lawn Mower,0,"List the features and properties of a Lawn Mower. Give a plain list, one property per line, no explanations.",
Lawn Mower,1,"List the features and properties of a Lawn Mower. Give a plain list, one property per line, no explanations.",
Lawn Mower,2,"List the features and properties of a Lawn Mower. Give a plain list, one property per line, no explanations.",
