input,prompt,response
accordion|acorn|airplane,Answer using only one word - acorn or airplane and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|apple,Answer using only one word - acorn or apple and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|barrel,Answer using only one word - acorn or barrel and not accordion. Which is more similar in semantic meaning to accordion?,barrel
accordion|acorn|beetle,Answer using only one word - acorn or beetle and not accordion. Which is more similar in semantic meaning to accordion?,beetle
accordion|acorn|blowtorch,Answer using only one word - acorn or blowtorch and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|brussels sprouts,Answer using only one word - acorn or brussels sprouts and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|candy,Answer using only one word - acorn or candy and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|cat,Answer using only one word - acorn or cat and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|chisel,Answer using only one word - acorn or chisel and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|acorn|crowbar,Answer using only one word - acorn or crowbar and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|fig,Answer using only one word - acorn or fig and not accordion. Which is more similar in semantic meaning to accordion?,fig
accordion|acorn|jeans,Answer using only one word - acorn or jeans and not accordion. Which is more similar in semantic meaning to accordion?,acorn
accordion|airplane|anteater,Answer using only one word - airplane or anteater and not accordion. Which is more similar in semantic meaning to accordion?,anteater
accordion|airplane|banana,Answer using only one word - airplane or banana and not accordion. Which is more similar in semantic meaning to accordion?,banana
accordion|airplane|bed,Answer using only one word - airplane or bed and not accordion. Which is more similar in semantic meaning to accordion?,bed
accordion|airplane|bird,Answer using only one word - airplane or bird and not accordion. Which is more similar in semantic meaning to accordion?,Neither
accordion|airplane|boar,Answer using only one word - airplane or boar and not accordion. Which is more similar in semantic meaning to accordion?,Neither
accordion|airplane|cactus,Answer using only one word - airplane or cactus and not accordion. Which is more similar in semantic meaning to accordion?,cactus
accordion|airplane|carrot,Answer using only one word - airplane or carrot and not accordion. Which is more similar in semantic meaning to accordion?,carrot
accordion|airplane|chili,Answer using only one word - airplane or chili and not accordion. Which is more similar in semantic meaning to accordion?,chili
accordion|airplane|coconut,Answer using only one word - airplane or coconut and not accordion. Which is more similar in semantic meaning to accordion?,Coconut
accordion|airplane|eagle,Answer using only one word - airplane or eagle and not accordion. Which is more similar in semantic meaning to accordion?,Neither
accordion|airplane|fly,Answer using only one word - airplane or fly and not accordion. Which is more similar in semantic meaning to accordion?,fly
accordion|aloe|ant,Answer using only one word - aloe or ant and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|bagel,Answer using only one word - aloe or bagel and not accordion. Which is more similar in semantic meaning to accordion?,bagel
accordion|aloe|beaver,Answer using only one word - aloe or beaver and not accordion. Which is more similar in semantic meaning to accordion?,beaver
accordion|aloe|belt,Answer using only one word - aloe or belt and not accordion. Which is more similar in semantic meaning to accordion?,belt
accordion|aloe|boa,Answer using only one word - aloe or boa and not accordion. Which is more similar in semantic meaning to accordion?,boa
accordion|aloe|burrito,Answer using only one word - aloe or burrito and not accordion. Which is more similar in semantic meaning to accordion?,burrito
accordion|aloe|car,Answer using only one word - aloe or car and not accordion. Which is more similar in semantic meaning to accordion?,car
accordion|aloe|celery,Answer using only one word - aloe or celery and not accordion. Which is more similar in semantic meaning to accordion?,celery
accordion|aloe|coat,Answer using only one word - aloe or coat and not accordion. Which is more similar in semantic meaning to accordion?,coat
accordion|aloe|dress,Answer using only one word - aloe or dress and not accordion. Which is more similar in semantic meaning to accordion?,dress
accordion|aloe|flute,Answer using only one word - aloe or flute and not accordion. Which is more similar in semantic meaning to accordion?,flute
accordion|aloe|motorcycle,Answer using only one word - aloe or motorcycle and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|ant|bagel,Answer using only one word - ant or bagel and not accordion. Which is more similar in semantic meaning to accordion?,bagel
accordion|ant|beaver,Answer using only one word - ant or beaver and not accordion. Which is more similar in semantic meaning to accordion?,beaver
accordion|ant|belt,Answer using only one word - ant or belt and not accordion. Which is more similar in semantic meaning to accordion?,belt
