input,prompt,response
accordion|acorn|airplane,Answer using only one word - acorn or airplane and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|apple,Answer using only one word - acorn or apple and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|barrel,Answer using only one word - acorn or barrel and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|beetle,Answer using only one word - acorn or beetle and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|blowtorch,Answer using only one word - acorn or blowtorch and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|brussels sprouts,Answer using only one word - acorn or brussels sprouts and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|candy,Answer using only one word - acorn or candy and not accordion. Which is more similar in semantic meaning to accordion?,Candy
accordion|acorn|cat,Answer using only one word - acorn or cat and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|chisel,Answer using only one word - acorn or chisel and not accordion. Which is more similar in semantic meaning to accordion?,chisel
accordion|acorn|crowbar,Answer using only one word - acorn or crowbar and not accordion. Which is more similar in semantic meaning to accordion?,Crowbar
accordion|acorn|fig,Answer using only one word - acorn or fig and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|acorn|jeans,Answer using only one word - acorn or jeans and not accordion. Which is more similar in semantic meaning to accordion?,Acorn
accordion|airplane|anteater,Answer using only one word - airplane or anteater and not accordion. Which is more similar in semantic meaning to accordion?,Anteater
accordion|airplane|banana,Answer using only one word - airplane or banana and not accordion. Which is more similar in semantic meaning to accordion?,Banana
accordion|airplane|bed,Answer using only one word - airplane or bed and not accordion. Which is more similar in semantic meaning to accordion?,Bed
accordion|airplane|bird,Answer using only one word - airplane or bird and not accordion. Which is more similar in semantic meaning to accordion?,Airplane
accordion|airplane|boar,Answer using only one word - airplane or boar and not accordion. Which is more similar in semantic meaning to accordion?,Boar.
accordion|airplane|cactus,Answer using only one word - airplane or cactus and not accordion. Which is more similar in semantic meaning to accordion?,Cactus.
accordion|airplane|carrot,Answer using only one word - airplane or carrot and not accordion. Which is more similar in semantic meaning to accordion?,Carrot
accordion|airplane|chili,Answer using only one word - airplane or chili and not accordion. Which is more similar in semantic meaning to accordion?,Airplane
accordion|airplane|coconut,Answer using only one word - airplane or coconut and not accordion. Which is more similar in semantic meaning to accordion?,Coconut
accordion|airplane|eagle,Answer using only one word - airplane or eagle and not accordion. Which is more similar in semantic meaning to accordion?,Eagle.
accordion|airplane|fly,Answer using only one word - airplane or fly and not accordion. Which is more similar in semantic meaning to accordion?,Airplane
accordion|aloe|ant,Answer using only one word - aloe or ant and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|bagel,Answer using only one word - aloe or bagel and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|beaver,Answer using only one word - aloe or beaver and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|belt,Answer using only one word - aloe or belt and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|boa,Answer using only one word - aloe or boa and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|burrito,Answer using only one word - aloe or burrito and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|car,Answer using only one word - aloe or car and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|celery,Answer using only one word - aloe or celery and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|coat,Answer using only one word - aloe or coat and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|dress,Answer using only one word - aloe or dress and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|flute,Answer using only one word - aloe or flute and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|aloe|motorcycle,Answer using only one word - aloe or motorcycle and not accordion. Which is more similar in semantic meaning to accordion?,Aloe
accordion|ant|bagel,Answer using only one word - ant or bagel and not accordion. Which is more similar in semantic meaning to accordion?,Bagel
accordion|ant|beaver,Answer using only one word - ant or beaver and not accordion. Which is more similar in semantic meaning to accordion?,Beaver.
