input,prompt,response
dry skin|Blindworm,,True
reptile|Shovel,,False
weighted head|Knife,,False
terrestrial or arboreal habitats|Gecko,,True
metal construction|Cobra,,False
territorial behavior in some species|Snake,,True
guard|Oil can,,False
speed control|Nail,,False
has strong bite force|Shovel,,False
ergonomic grip|Hammer,,True
motor power|Dinosaur,,False
excellent swimmer|Salamander,,True
portability|Screwdriver,,True
motor power|Gecko,,False
moves by slithering|Toad,,False
good sense of smell|Blindworm,,True
point|Knife,,True
weight|Vacuum,,True
blade material|Nail,,False
long muscular tail|Knife,,False
blade length|Boa python,,False
handle material|Alligator,,False
lives in freshwater habitats|Chisel,,False
excellent swimmer|Cobra,,True
noise level|Oil can,,False
cheek|Oil can,,False
long tail|Cobra,,True
metamorphosis|Axe,,False
impact resistance|Anvil,,True
clawed feet|Lizard,,True
fiberglass handle|Spanner,,False
speed control|Cobra,,False
lightweight|Gecko,,True
camouflage coloration|Hammer,,False
handle material|Lawn Mower,,True
breathes air with lungs|Lawn Mower,,False
uses camouflage|Saw,,False
can remain submerged for long periods|Oil can,,False
non-slip grip|Hammer,,True
moveable eyelids|Turtle,,True
corrosion resistance|Shovel,,True
lives in freshwater habitats|Crocodile,,True
sheds skin periodically|Dinosaur,,True
prefers damp habitats|Cobra,,False
long lifespan|Lawn Mower,,True
replaceable handle|Anvil,,False
balance|Knife,,True
amphibian|Crocodile,,False
steel handle|Spanner,,True
armored body|Grinding disk,,False
torque capability|Snake,,False
replaceable handle|Hammer,,True
mostly nocturnal|Salamander,,True
external ear openings absent|Anvil,,True
manual operation|Nail,,False
found on every continent except antarctica|Lizard,,True
sheds skin periodically|Hammer,,False
vibration level|Chameleon,,False
vertical pupils|Salamander,,False
sheds skin periodically|Screwdriver,,False
uses tail for propulsion|Anvil,,False
burrowing behavior|Shovel,,False
live birth in some species|Turtle,,False
scaly skin|Caiman,,True
weather resistance|Dinosaur,,False
can swim|Snake,,True
jacobson’s organ|Blindworm,,True
vertebrate|Knife,,False
clawed toes|Gecko,,True
insectivorous diet|Snake,,False
short legs|Saw,,False
hanging hole|Cobra,,False
good sense of smell|Cobra,,True
hard protective shell|Salamander,,False
nocturnal or crepuscular activity|Grinding disk,,False
swallows prey whole|Axe,,False
mostly nocturnal|Cobra,,True
drive type|Blindworm,,False
leverage|Toad,,False
breathes with lungs|Lizard,,True
slow movement|Turtle,,True
wear resistance|Lawn Mower,,True
rust resistance|Axe,,False
toe|Gecko,,True
has no external ears|Lizard,,True
finish|Lizard,,False
cheek|Lizard,,True
beak-like mouth|Shovel,,False
balanced weight|Axe,,True
powerful jaws|Screwdriver,,False
mostly nocturnal|Lawn Mower,,False
large semi-aquatic reptile|Alligator,,True
vibration level|Chisel,,True
builds nests|Oil can,,False
hanging hole|Shovel,,True
pocket clip|Axe,,False
portable|Chisel,,True
wide mouth|Axe,,False
hard shell|Axe,,False
long sticky tongue|Toad,,True
sheds skin periodically|Chisel,,False
metamorphosis|Hammer,,False
long lifespan|Alligator,,True
excellent sense of smell|Tortoise,,True
large eyes|Chameleon,,True
breathes air|Grinding disk,,False
varies greatly in size|Blindworm,,False
amphibian|Grinding disk,,False
tropical and subtropical habitats|Lawn Mower,,False
blade|Toad,,False
crocodilian|Paint brush,,False
found in warm climates|Snake,,True
breathes with lungs|Nail,,False
handle|Vacuum,,True
