input,prompt,response,prompt_variant
alligator|caiman|crocodile,"Target concept: alligator
Candidate A: caiman
Candidate B: crocodile
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|caiman|boa python,"Target concept: alligator
Candidate A: caiman
Candidate B: boa python
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|cobra,"Target concept: alligator
Candidate A: caiman
Candidate B: cobra
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|snake,"Target concept: alligator
Candidate A: caiman
Candidate B: snake
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|blindworm,"Target concept: alligator
Candidate A: caiman
Candidate B: blindworm
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|chameleon,"Target concept: alligator
Candidate A: caiman
Candidate B: chameleon
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|gecko,"Target concept: alligator
Candidate A: caiman
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|lizard,"Target concept: alligator
Candidate A: caiman
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|salamander,"Target concept: alligator
Candidate A: caiman
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|toad,"Target concept: alligator
Candidate A: caiman
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|tortoise,"Target concept: alligator
Candidate A: caiman
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|turtle,"Target concept: alligator
Candidate A: caiman
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|axe,"Target concept: alligator
Candidate A: caiman
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|chisel,"Target concept: alligator
Candidate A: caiman
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|hammer,"Target concept: alligator
Candidate A: caiman
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|caiman|saw,"Target concept: alligator
Candidate A: caiman
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|boa python,"Target concept: alligator
Candidate A: crocodile
Candidate B: boa python
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|cobra,"Target concept: alligator
Candidate A: crocodile
Candidate B: cobra
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|snake,"Target concept: alligator
Candidate A: crocodile
Candidate B: snake
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|blindworm,"Target concept: alligator
Candidate A: crocodile
Candidate B: blindworm
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|chameleon,"Target concept: alligator
Candidate A: crocodile
Candidate B: chameleon
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|gecko,"Target concept: alligator
Candidate A: crocodile
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|lizard,"Target concept: alligator
Candidate A: crocodile
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|salamander,"Target concept: alligator
Candidate A: crocodile
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|toad,"Target concept: alligator
Candidate A: crocodile
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|tortoise,"Target concept: alligator
Candidate A: crocodile
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|turtle,"Target concept: alligator
Candidate A: crocodile
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|axe,"Target concept: alligator
Candidate A: crocodile
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|chisel,"Target concept: alligator
Candidate A: crocodile
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|hammer,"Target concept: alligator
Candidate A: crocodile
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|crocodile|saw,"Target concept: alligator
Candidate A: crocodile
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|cobra,"Target concept: alligator
Candidate A: boa python
Candidate B: cobra
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|snake,"Target concept: alligator
Candidate A: boa python
Candidate B: snake
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|boa python|blindworm,"Target concept: alligator
Candidate A: boa python
Candidate B: blindworm
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|chameleon,"Target concept: alligator
Candidate A: boa python
Candidate B: chameleon
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|gecko,"Target concept: alligator
Candidate A: boa python
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|lizard,"Target concept: alligator
Candidate A: boa python
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|boa python|salamander,"Target concept: alligator
Candidate A: boa python
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|toad,"Target concept: alligator
Candidate A: boa python
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|tortoise,"Target concept: alligator
Candidate A: boa python
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|turtle,"Target concept: alligator
Candidate A: boa python
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|boa python|axe,"Target concept: alligator
Candidate A: boa python
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|chisel,"Target concept: alligator
Candidate A: boa python
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|hammer,"Target concept: alligator
Candidate A: boa python
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|boa python|saw,"Target concept: alligator
Candidate A: boa python
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|snake,"Target concept: alligator
Candidate A: cobra
Candidate B: snake
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|cobra|blindworm,"Target concept: alligator
Candidate A: cobra
Candidate B: blindworm
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|chameleon,"Target concept: alligator
Candidate A: cobra
Candidate B: chameleon
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|gecko,"Target concept: alligator
Candidate A: cobra
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|lizard,"Target concept: alligator
Candidate A: cobra
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|cobra|salamander,"Target concept: alligator
Candidate A: cobra
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|toad,"Target concept: alligator
Candidate A: cobra
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|tortoise,"Target concept: alligator
Candidate A: cobra
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|turtle,"Target concept: alligator
Candidate A: cobra
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|axe,"Target concept: alligator
Candidate A: cobra
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|chisel,"Target concept: alligator
Candidate A: cobra
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|hammer,"Target concept: alligator
Candidate A: cobra
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|cobra|saw,"Target concept: alligator
Candidate A: cobra
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|blindworm,"Target concept: alligator
Candidate A: snake
Candidate B: blindworm
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|chameleon,"Target concept: alligator
Candidate A: snake
Candidate B: chameleon
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|gecko,"Target concept: alligator
Candidate A: snake
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|lizard,"Target concept: alligator
Candidate A: snake
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|snake|salamander,"Target concept: alligator
Candidate A: snake
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|toad,"Target concept: alligator
Candidate A: snake
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|tortoise,"Target concept: alligator
Candidate A: snake
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|turtle,"Target concept: alligator
Candidate A: snake
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|snake|axe,"Target concept: alligator
Candidate A: snake
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|chisel,"Target concept: alligator
Candidate A: snake
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|hammer,"Target concept: alligator
Candidate A: snake
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|snake|saw,"Target concept: alligator
Candidate A: snake
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|chameleon,"Target concept: alligator
Candidate A: blindworm
Candidate B: chameleon
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|gecko,"Target concept: alligator
Candidate A: blindworm
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|lizard,"Target concept: alligator
Candidate A: blindworm
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|blindworm|salamander,"Target concept: alligator
Candidate A: blindworm
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|blindworm|toad,"Target concept: alligator
Candidate A: blindworm
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|tortoise,"Target concept: alligator
Candidate A: blindworm
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|blindworm|turtle,"Target concept: alligator
Candidate A: blindworm
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|blindworm|axe,"Target concept: alligator
Candidate A: blindworm
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|chisel,"Target concept: alligator
Candidate A: blindworm
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|hammer,"Target concept: alligator
Candidate A: blindworm
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|blindworm|saw,"Target concept: alligator
Candidate A: blindworm
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|gecko,"Target concept: alligator
Candidate A: chameleon
Candidate B: gecko
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|lizard,"Target concept: alligator
Candidate A: chameleon
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|chameleon|salamander,"Target concept: alligator
Candidate A: chameleon
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|toad,"Target concept: alligator
Candidate A: chameleon
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|tortoise,"Target concept: alligator
Candidate A: chameleon
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|turtle,"Target concept: alligator
Candidate A: chameleon
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|chameleon|axe,"Target concept: alligator
Candidate A: chameleon
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|chisel,"Target concept: alligator
Candidate A: chameleon
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|hammer,"Target concept: alligator
Candidate A: chameleon
Candidate B: hammer
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|chameleon|saw,"Target concept: alligator
Candidate A: chameleon
Candidate B: saw
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|gecko|lizard,"Target concept: alligator
Candidate A: gecko
Candidate B: lizard
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|gecko|salamander,"Target concept: alligator
Candidate A: gecko
Candidate B: salamander
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|gecko|toad,"Target concept: alligator
Candidate A: gecko
Candidate B: toad
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|gecko|tortoise,"Target concept: alligator
Candidate A: gecko
Candidate B: tortoise
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|gecko|turtle,"Target concept: alligator
Candidate A: gecko
Candidate B: turtle
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",B,canonical
alligator|gecko|axe,"Target concept: alligator
Candidate A: gecko
Candidate B: axe
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
alligator|gecko|chisel,"Target concept: alligator
Candidate A: gecko
Candidate B: chisel
Which candidate is more similar in semantic meaning to the target? Answer with exactly A or B.",A,canonical
