concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile  
Crocodilian  
Semi-aquatic  
Cold-blooded  
Carnivorous  
Large, broad snout  
Powerful jaws  
Sharp conical teeth  
Armored, scaly skin  
Dark coloration  
Long muscular tail  
Short, strong legs  
Webbed feet  
Eyes on top of head  
Nostrils on top of snout  
Excellent swimmer  
Ambush predator  
Freshwater habitat  
Lives in swamps, marshes, rivers, and lakes  
Lays eggs  
Builds nests  
Protective mother  
Basks in the sun  
Can hold breath underwater  
Strong bite force  
Grows throughout life  
Native to the southeastern United States and China  
Two living species  
Can vocalize  
Has a nictitating membrane  
Slow metabolism  
Can enter dormancy in cold weather  
Uses tail for propulsion  
Can move on land  
Juveniles have yellow striping  
Adults are usually dark gray or black"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Large semi-aquatic reptile  
Broad, rounded snout  
Powerful jaws  
Sharp conical teeth  
Armored, scaly skin  
Dark gray to black coloration  
Long muscular tail  
Short, strong legs  
Webbed feet  
Eyes positioned on top of the head  
Nostrils positioned on top of the snout  
Excellent swimmer  
Can hold breath underwater  
Cold-blooded  
Carnivorous  
Ambush predator  
Lives in freshwater habitats  
Found in swamps, marshes, rivers, lakes, and wetlands  
Lays eggs  
Builds nests from vegetation  
Females guard nests and young  
Vocalizes with bellows and hisses  
Has strong bite force  
Can move quickly over short distances  
Uses tail for propulsion in water  
Has a nictitating membrane over the eyes  
Can regulate body temperature by basking  
Juveniles have yellowish bands or stripes  
Adults can grow over 10 feet long  
Native to the southeastern United States and China"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile  
Crocodilian  
Semi-aquatic  
Cold-blooded  
Broad rounded snout  
Powerful jaws  
Sharp conical teeth  
Armored scaly skin  
Bony plates called osteoderms  
Long muscular tail  
Short sturdy legs  
Webbed feet  
Eyes positioned on top of head  
Nostrils positioned on top of snout  
Excellent swimmer  
Carnivorous  
Ambush predator  
Strong bite force  
Lives in freshwater habitats  
Found in swamps  
Found in marshes  
Found in rivers  
Found in lakes  
Can tolerate some brackish water  
Lays eggs  
Builds nests from vegetation  
Female guards the nest  
Young hatchlings vocalize  
Dark gray or black coloration  
Lighter underside  
Juveniles have yellow stripes  
Can grow over 10 feet long  
Can weigh hundreds of pounds  
Native to the southeastern United States  
Native to parts of China  
Primarily active at night  
Basks in the sun  
Can stay submerged for extended periods  
Uses tail for propulsion  
Communicates with bellows and hisses  
Creates “alligator holes”  
Plays a keystone role in wetlands"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Large semi-aquatic reptile
Belongs to the family Alligatoridae
Broad, rounded snout
Powerful jaws
Sharp conical teeth
Dark armored skin
Bony scutes along the back
Long muscular tail
Short sturdy legs
Webbed feet
Excellent swimmer
Lives in freshwater habitats
Found in swamps, marshes, rivers, lakes, and wetlands
Carnivorous
Eats fish, birds, turtles, mammals, and other reptiles
Cold-blooded
Ambush predator
Strong bite force
Eyes positioned on top of the head
Nostrils positioned on top of the snout
Can hold breath underwater
Uses tail for propulsion
Can move on land
Can perform a “high walk”
Lays eggs
Builds nest mounds from vegetation
Female guards the nest
Temperature-dependent sex determination
Juveniles have yellow bands
Adults are usually dark gray or black
Communicates with bellows, hisses, and growls
Has excellent night vision
Has a nictitating membrane
Can sense vibrations in water
Native to the southeastern United States and China
American alligator is larger than Chinese alligator
Can live for decades
Plays an important ecological role
Creates “alligator holes” in wetlands
Top predator in its habitat"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Reptile
Crocodilian
Semi-aquatic
Carnivorous
Cold-blooded
Scaly skin
Armored body
Broad, rounded snout
Powerful jaws
Sharp conical teeth
Teeth visible mainly in upper jaw when mouth is closed
Strong tail
Webbed feet
Short legs
Eyes on top of head
Nostrils on top of snout
Excellent swimmer
Lives in freshwater habitats
Found in swamps
Found in marshes
Found in rivers
Found in lakes
Lays eggs
Builds nests from vegetation
Maternal care of young
Ambush predator
Strong bite force
Dark coloration
Can grow large
Long lifespan
Breathes air
Can hold breath underwater
Basks in the sun
Nocturnal and crepuscular activity
Territorial behavior
Communicates with bellows
Juveniles have yellow stripes
Slow metabolism
Native to the Americas
Includes American alligator
Includes Chinese alligator"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Hard, durable steel or iron body

Flat working face

Hardened top surface

Horn for bending and shaping

Step or cutting table

Hardy hole

Pritchel hole

Heel

Waist

Base or feet

High mass for stability

Shock resistance

Wear resistance

Rebound

Sound ring

Used for forging

Used for shaping metal

Used for flattening metal

Used for bending metal

Used for punching metal

Used with hammers

Used with hardy tools

Heavy weight

Stable work surface

Tapered horn

Rectangular face

Rounded edges

Heat resistance

Impact resistance

Long service life"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Heavy steel or iron body

Flat hardened work surface

Horn for shaping curves

Hardy hole

Pritchel hole

Heel

Step

Base

Waist

Face

Rounded edges

High mass

High impact resistance

Stable footing

Durable construction

Rebound capability

Used for forging

Used for bending metal

Used for punching metal

Used for cutting metal

Used by blacksmiths"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Hard steel face  
Flat working surface  
Horn  
Hardy hole  
Pritchel hole  
Step  
Heel  
Base  
Waist  
Rounded edges  
High mass  
Shock resistance  
Durability  
Rebound  
Stability  
Cast steel construction  
Forged steel construction  
Cast iron body  
Hardened top plate  
Wear resistance  
Heat resistance  
Impact resistance  
Blacksmithing use  
Metal shaping use  
Riveting use  
Punching use  
Bending use  
Flattening use  
Tapering use  
Portable or stationary designs  
Various weights and sizes"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Heavy metal body

Flat top face

Hardened steel surface

Horn

Step

Hardy hole

Pritchel hole

Base

Waist

Heel

Face

Beak

Durability

Mass

Stability

Impact resistance

Heat resistance

Rebound

Sound resonance

Tool support

Forging surface

Shaping surface

Bending surface

Punching support

Cutting support

Portable or stationary design"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Heavy steel or iron body

Flat working face

Hardened surface

Horn

Step

Hardy hole

Pritchel hole

Waist

Base

Heel

Rounded edges

High mass

Durable construction

Impact resistance

Stable footing

Rebound

Ring sound

Used for forging

Used for shaping metal

Used for hammering

Used for bending metal

Used for punching holes

Used with hardy tools"
