input,prompt,response,prompt_variant
alligator|caiman|crocodile,"Compare the target to two candidates.
Target: alligator
A: caiman
B: crocodile
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|caiman|boa python,"Compare the target to two candidates.
Target: alligator
A: caiman
B: boa python
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|cobra,"Compare the target to two candidates.
Target: alligator
A: caiman
B: cobra
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|snake,"Compare the target to two candidates.
Target: alligator
A: caiman
B: snake
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|blindworm,"Compare the target to two candidates.
Target: alligator
A: caiman
B: blindworm
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|chameleon,"Compare the target to two candidates.
Target: alligator
A: caiman
B: chameleon
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|gecko,"Compare the target to two candidates.
Target: alligator
A: caiman
B: gecko
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|lizard,"Compare the target to two candidates.
Target: alligator
A: caiman
B: lizard
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|salamander,"Compare the target to two candidates.
Target: alligator
A: caiman
B: salamander
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|toad,"Compare the target to two candidates.
Target: alligator
A: caiman
B: toad
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|tortoise,"Compare the target to two candidates.
Target: alligator
A: caiman
B: tortoise
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|turtle,"Compare the target to two candidates.
Target: alligator
A: caiman
B: turtle
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|axe,"Compare the target to two candidates.
Target: alligator
A: caiman
B: axe
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|chisel,"Compare the target to two candidates.
Target: alligator
A: caiman
B: chisel
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|hammer,"Compare the target to two candidates.
Target: alligator
A: caiman
B: hammer
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|caiman|saw,"Compare the target to two candidates.
Target: alligator
A: caiman
B: saw
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|boa python,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: boa python
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|cobra,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: cobra
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|snake,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: snake
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|blindworm,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: blindworm
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|chameleon,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: chameleon
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|gecko,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: gecko
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|lizard,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: lizard
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|salamander,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: salamander
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|toad,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: toad
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|tortoise,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: tortoise
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|turtle,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: turtle
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|axe,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: axe
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|chisel,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: chisel
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|hammer,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: hammer
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|crocodile|saw,"Compare the target to two candidates.
Target: alligator
A: crocodile
B: saw
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|cobra,"Compare the target to two candidates.
Target: alligator
A: boa python
B: cobra
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|snake,"Compare the target to two candidates.
Target: alligator
A: boa python
B: snake
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|boa python|blindworm,"Compare the target to two candidates.
Target: alligator
A: boa python
B: blindworm
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|chameleon,"Compare the target to two candidates.
Target: alligator
A: boa python
B: chameleon
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|gecko,"Compare the target to two candidates.
Target: alligator
A: boa python
B: gecko
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|lizard,"Compare the target to two candidates.
Target: alligator
A: boa python
B: lizard
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|boa python|salamander,"Compare the target to two candidates.
Target: alligator
A: boa python
B: salamander
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|toad,"Compare the target to two candidates.
Target: alligator
A: boa python
B: toad
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|boa python|tortoise,"Compare the target to two candidates.
Target: alligator
A: boa python
B: tortoise
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|boa python|turtle,"Compare the target to two candidates.
Target: alligator
A: boa python
B: turtle
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|boa python|axe,"Compare the target to two candidates.
Target: alligator
A: boa python
B: axe
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|chisel,"Compare the target to two candidates.
Target: alligator
A: boa python
B: chisel
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|hammer,"Compare the target to two candidates.
Target: alligator
A: boa python
B: hammer
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|boa python|saw,"Compare the target to two candidates.
Target: alligator
A: boa python
B: saw
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|cobra|snake,"Compare the target to two candidates.
Target: alligator
A: cobra
B: snake
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|blindworm,"Compare the target to two candidates.
Target: alligator
A: cobra
B: blindworm
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|chameleon,"Compare the target to two candidates.
Target: alligator
A: cobra
B: chameleon
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|cobra|gecko,"Compare the target to two candidates.
Target: alligator
A: cobra
B: gecko
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|cobra|lizard,"Compare the target to two candidates.
Target: alligator
A: cobra
B: lizard
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|salamander,"Compare the target to two candidates.
Target: alligator
A: cobra
B: salamander
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|toad,"Compare the target to two candidates.
Target: alligator
A: cobra
B: toad
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|tortoise,"Compare the target to two candidates.
Target: alligator
A: cobra
B: tortoise
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|turtle,"Compare the target to two candidates.
Target: alligator
A: cobra
B: turtle
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
alligator|cobra|axe,"Compare the target to two candidates.
Target: alligator
A: cobra
B: axe
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|cobra|chisel,"Compare the target to two candidates.
Target: alligator
A: cobra
B: chisel
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|cobra|hammer,"Compare the target to two candidates.
Target: alligator
A: cobra
B: hammer
Which candidate is closer in meaning to the target? Reply with only A or B.",A,paraphrase
alligator|cobra|saw,"Compare the target to two candidates.
Target: alligator
A: cobra
B: saw
Which candidate is closer in meaning to the target? Reply with only A or B.",B,paraphrase
