concept,feature,feature_raw,gpt5_response,gpt5_true
Alligator,"can be brown, black, white, grey","can_be_brown,_black,_white,_grey",True,1
Alligator,can be lethal to man,can_be_lethal_to_man,True,1
Alligator,can live for a long time without food,can_live_for_a_long_time_without_food,True,1
Alligator,can be fed,can_be_fed,True,1
Alligator,can eat people,can_eat_people,True,1
Alligator,doesn't herd,doesn't_herd,True,1
Alligator,does not smell well,does_not_smell_well,False,0
Alligator,can open its tail,can_open_its_tail,False,0
Alligator,filtrate food out of the water with its bill,filtrate_food_out_of_the_water_with_its_bill,False,0
Alligator,external skeleton,external_skeleton,False,0
Alligator,has gnawing teeth,has_gnawing_teeth,False,0
Alligator,is found in earth,is_found_in_earth,True,1
Alligator,is not a pet,is_not_a_pet,True,1
Alligator,sometimes stands on one paw,sometimes_stands_on_one_paw,False,0
Alligator,can be disadvantageous to harvest,can_be_disadvantageous_to_harvest,True,1
Alligator,likes humidity,likes_humidity,True,1
Alligator,can be seen on safaris,can_be_seen_on_safaris,False,0
Alligator,breaths under water,breaths_under_water,False,0
Alligator,"in dutch expression: once bitten, twice shy","in_dutch_expression:_once_bitten,_twice_shy",False,0
Alligator,can turn his head very far,can_turn_his_head_very_far,False,0
Alligator,can kill people,can_kill_people,True,1
Alligator,doesn't have 1000 paws,doesn't_have_1000_paws,True,1
Alligator,has a head,has_a_head,True,1
Alligator,grazes,grazes,False,0
Alligator,eats frogs,eats_frogs,True,1
Alligator,has a mouth,has_a_mouth,True,1
Alligator,is found all around the world,is_found_all_around_the_world,False,0
Alligator,is large and fat,is_large_and_fat,True,1
Alligator,has large front teeth,has_large_front_teeth,False,0
Alligator,"long hind legs, short forelegs","long_hind_legs,_short_forelegs",False,0
Alligator,is not good at flying,is_not_good_at_flying,True,1
Alligator,descend from the dinosaur,descend_from_the_dinosaur,False,0
Alligator,not friendly with dogs,not_friendly_with_dogs,True,1
Alligator,rough,rough,True,1
Alligator,was used in medical science in earlier times,was_used_in_medical_science_in_earlier_times,True,1
Alligator,has black eyes,has_black_eyes,True,1
