input,prompt,response
Shovel|Alligator|Spanner,Answer using only one word - Alligator or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,Alligator
Anvil|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,Caiman
Nail|Boa python|Snake,Answer using only one word - Boa python or Snake and not Nail. Which is more similar in semantic meaning to Nail?,Snake
Paint brush|Chisel|Toad,Answer using only one word - Chisel or Toad and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Chisel
Shovel|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Shovel. Which is more similar in semantic meaning to Shovel?,Caiman
Alligator|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Alligator. Which is more similar in semantic meaning to Alligator?,Gecko
Cobra|Boa python|Turtle,Answer using only one word - Boa python or Turtle and not Cobra. Which is more similar in semantic meaning to Cobra?,Python
Oil can|Grinding disk|Hammer,Answer using only one word - Grinding disk or Hammer and not Oil can. Which is more similar in semantic meaning to Oil can?,Hammer
Paint brush|Lizard|Spanner,Answer using only one word - Lizard or Spanner and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Lizard
Gecko|Axe|Vacuum,Answer using only one word - Axe or Vacuum and not Gecko. Which is more similar in semantic meaning to Gecko?,Axe
Toad|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,Caiman
Chameleon|Cobra|Shovel,Answer using only one word - Cobra or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,Shovel
Anvil|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,Chisel
Saw|Alligator|Caiman,Answer using only one word - Alligator or Caiman and not Saw. Which is more similar in semantic meaning to Saw?,Caiman
Paint brush|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Paint brush. Which is more similar in semantic meaning to Paint brush?,Lawn Mower
Hammer|Blindworm|Lizard,Answer using only one word - Blindworm or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,Lizard
Blindworm|Anvil|Axe,Answer using only one word - Anvil or Axe and not Blindworm. Which is more similar in semantic meaning to Blindworm?,Anvil.
Dinosaur|Anvil|Crocodile,Answer using only one word - Anvil or Crocodile and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,Crocodile
Knife|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Knife. Which is more similar in semantic meaning to Knife?,Crocodile
Anvil|Lizard|Toad,Answer using only one word - Lizard or Toad and not Anvil. Which is more similar in semantic meaning to Anvil?,Lizard
Lizard|Snake|Spanner,Answer using only one word - Snake or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,Snake
