input,prompt,response
Shovel|Alligator|Spanner,Answer using only one word - Alligator or Spanner and not Shovel. Which is more similar in semantic meaning to Shovel?,
Anvil|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Anvil. Which is more similar in semantic meaning to Anvil?,
Nail|Boa python|Snake,Answer using only one word - Boa python or Snake and not Nail. Which is more similar in semantic meaning to Nail?,
Paint brush|Chisel|Toad,Answer using only one word - Chisel or Toad and not Paint brush. Which is more similar in semantic meaning to Paint brush?,
Shovel|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Shovel. Which is more similar in semantic meaning to Shovel?,
Alligator|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Alligator. Which is more similar in semantic meaning to Alligator?,
Cobra|Boa python|Turtle,Answer using only one word - Boa python or Turtle and not Cobra. Which is more similar in semantic meaning to Cobra?,
Oil can|Grinding disk|Hammer,Answer using only one word - Grinding disk or Hammer and not Oil can. Which is more similar in semantic meaning to Oil can?,
Paint brush|Lizard|Spanner,Answer using only one word - Lizard or Spanner and not Paint brush. Which is more similar in semantic meaning to Paint brush?,
Gecko|Axe|Vacuum,Answer using only one word - Axe or Vacuum and not Gecko. Which is more similar in semantic meaning to Gecko?,
Toad|Caiman|Tortoise,Answer using only one word - Caiman or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,
Chameleon|Cobra|Shovel,Answer using only one word - Cobra or Shovel and not Chameleon. Which is more similar in semantic meaning to Chameleon?,
Anvil|Chisel|Grinding disk,Answer using only one word - Chisel or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,
Saw|Alligator|Caiman,Answer using only one word - Alligator or Caiman and not Saw. Which is more similar in semantic meaning to Saw?,
Paint brush|Lawn Mower|Lizard,Answer using only one word - Lawn Mower or Lizard and not Paint brush. Which is more similar in semantic meaning to Paint brush?,
Hammer|Blindworm|Lizard,Answer using only one word - Blindworm or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,
Blindworm|Anvil|Axe,Answer using only one word - Anvil or Axe and not Blindworm. Which is more similar in semantic meaning to Blindworm?,
Dinosaur|Anvil|Crocodile,Answer using only one word - Anvil or Crocodile and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,
Knife|Crocodile|Turtle,Answer using only one word - Crocodile or Turtle and not Knife. Which is more similar in semantic meaning to Knife?,
Anvil|Lizard|Toad,Answer using only one word - Lizard or Toad and not Anvil. Which is more similar in semantic meaning to Anvil?,
Lizard|Snake|Spanner,Answer using only one word - Snake or Spanner and not Lizard. Which is more similar in semantic meaning to Lizard?,
Caiman|Gecko|Paint brush,Answer using only one word - Gecko or Paint brush and not Caiman. Which is more similar in semantic meaning to Caiman?,
Snake|Caiman|Knife,Answer using only one word - Caiman or Knife and not Snake. Which is more similar in semantic meaning to Snake?,
Knife|Caiman|Crocodile,Answer using only one word - Caiman or Crocodile and not Knife. Which is more similar in semantic meaning to Knife?,
Lawn Mower|Chameleon|Nail,Answer using only one word - Chameleon or Nail and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,
Lizard|Turtle|Vacuum,Answer using only one word - Turtle or Vacuum and not Lizard. Which is more similar in semantic meaning to Lizard?,
Gecko|Chisel|Knife,Answer using only one word - Chisel or Knife and not Gecko. Which is more similar in semantic meaning to Gecko?,
Tortoise|Blindworm|Paint brush,Answer using only one word - Blindworm or Paint brush and not Tortoise. Which is more similar in semantic meaning to Tortoise?,
Dinosaur|Gecko|Knife,Answer using only one word - Gecko or Knife and not Dinosaur. Which is more similar in semantic meaning to Dinosaur?,
Oil can|Chisel|Crocodile,Answer using only one word - Chisel or Crocodile and not Oil can. Which is more similar in semantic meaning to Oil can?,
Chisel|Alligator|Saw,Answer using only one word - Alligator or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,
Tortoise|Grinding disk|Oil can,Answer using only one word - Grinding disk or Oil can and not Tortoise. Which is more similar in semantic meaning to Tortoise?,
Grinding disk|Blindworm|Oil can,Answer using only one word - Blindworm or Oil can and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,
Toad|Hammer|Lawn Mower,Answer using only one word - Hammer or Lawn Mower and not Toad. Which is more similar in semantic meaning to Toad?,
Knife|Gecko|Lizard,Answer using only one word - Gecko or Lizard and not Knife. Which is more similar in semantic meaning to Knife?,
Caiman|Chameleon|Spanner,Answer using only one word - Chameleon or Spanner and not Caiman. Which is more similar in semantic meaning to Caiman?,
Oil can|Chisel|Gecko,Answer using only one word - Chisel or Gecko and not Oil can. Which is more similar in semantic meaning to Oil can?,
Crocodile|Grinding disk|Turtle,Answer using only one word - Grinding disk or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,
Nail|Knife|Lawn Mower,Answer using only one word - Knife or Lawn Mower and not Nail. Which is more similar in semantic meaning to Nail?,
Snake|Knife|Oil can,Answer using only one word - Knife or Oil can and not Snake. Which is more similar in semantic meaning to Snake?,
Lawn Mower|Axe|Caiman,Answer using only one word - Axe or Caiman and not Lawn Mower. Which is more similar in semantic meaning to Lawn Mower?,
Anvil|Lizard|Saw,Answer using only one word - Lizard or Saw and not Anvil. Which is more similar in semantic meaning to Anvil?,
Shovel|Cobra|Toad,Answer using only one word - Cobra or Toad and not Shovel. Which is more similar in semantic meaning to Shovel?,
Alligator|Blindworm|Lawn Mower,Answer using only one word - Blindworm or Lawn Mower and not Alligator. Which is more similar in semantic meaning to Alligator?,
Crocodile|Cobra|Salamander,Answer using only one word - Cobra or Salamander and not Crocodile. Which is more similar in semantic meaning to Crocodile?,
Caiman|Chisel|Salamander,Answer using only one word - Chisel or Salamander and not Caiman. Which is more similar in semantic meaning to Caiman?,
Chisel|Paint brush|Saw,Answer using only one word - Paint brush or Saw and not Chisel. Which is more similar in semantic meaning to Chisel?,
Grinding disk|Blindworm|Knife,Answer using only one word - Blindworm or Knife and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,
Saw|Gecko|Salamander,Answer using only one word - Gecko or Salamander and not Saw. Which is more similar in semantic meaning to Saw?,
Knife|Lawn Mower|Vacuum,Answer using only one word - Lawn Mower or Vacuum and not Knife. Which is more similar in semantic meaning to Knife?,
Crocodile|Hammer|Spanner,Answer using only one word - Hammer or Spanner and not Crocodile. Which is more similar in semantic meaning to Crocodile?,
Grinding disk|Hammer|Screwdriver,Answer using only one word - Hammer or Screwdriver and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,
Toad|Paint brush|Tortoise,Answer using only one word - Paint brush or Tortoise and not Toad. Which is more similar in semantic meaning to Toad?,
Screwdriver|Axe|Dinosaur,Answer using only one word - Axe or Dinosaur and not Screwdriver. Which is more similar in semantic meaning to Screwdriver?,
Oil can|Axe|Snake,Answer using only one word - Axe or Snake and not Oil can. Which is more similar in semantic meaning to Oil can?,
Nail|Dinosaur|Oil can,Answer using only one word - Dinosaur or Oil can and not Nail. Which is more similar in semantic meaning to Nail?,
Oil can|Snake|Toad,Answer using only one word - Snake or Toad and not Oil can. Which is more similar in semantic meaning to Oil can?,
Axe|Gecko|Vacuum,Answer using only one word - Gecko or Vacuum and not Axe. Which is more similar in semantic meaning to Axe?,
Toad|Caiman|Oil can,Answer using only one word - Caiman or Oil can and not Toad. Which is more similar in semantic meaning to Toad?,
Shovel|Dinosaur|Lawn Mower,Answer using only one word - Dinosaur or Lawn Mower and not Shovel. Which is more similar in semantic meaning to Shovel?,
Hammer|Anvil|Lizard,Answer using only one word - Anvil or Lizard and not Hammer. Which is more similar in semantic meaning to Hammer?,
Salamander|Blindworm|Tortoise,Answer using only one word - Blindworm or Tortoise and not Salamander. Which is more similar in semantic meaning to Salamander?,
Chameleon|Boa python|Toad,Answer using only one word - Boa python or Toad and not Chameleon. Which is more similar in semantic meaning to Chameleon?,
Crocodile|Alligator|Screwdriver,Answer using only one word - Alligator or Screwdriver and not Crocodile. Which is more similar in semantic meaning to Crocodile?,
Lizard|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Lizard. Which is more similar in semantic meaning to Lizard?,
Crocodile|Gecko|Turtle,Answer using only one word - Gecko or Turtle and not Crocodile. Which is more similar in semantic meaning to Crocodile?,
Anvil|Crocodile|Grinding disk,Answer using only one word - Crocodile or Grinding disk and not Anvil. Which is more similar in semantic meaning to Anvil?,
Anvil|Caiman|Knife,Answer using only one word - Caiman or Knife and not Anvil. Which is more similar in semantic meaning to Anvil?,
Salamander|Alligator|Nail,Answer using only one word - Alligator or Nail and not Salamander. Which is more similar in semantic meaning to Salamander?,
Grinding disk|Axe|Dinosaur,Answer using only one word - Axe or Dinosaur and not Grinding disk. Which is more similar in semantic meaning to Grinding disk?,
Snake|Chisel|Vacuum,Answer using only one word - Chisel or Vacuum and not Snake. Which is more similar in semantic meaning to Snake?,
Toad|Crocodile|Lizard,Answer using only one word - Crocodile or Lizard and not Toad. Which is more similar in semantic meaning to Toad?,
