concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","It should be easy to spot the differences between an Alligator and a Crocodile.
The alligator is an amphibious creature that lives in the wetlands of the southeastern United States. It is a carnivorous reptile that is known for its powerful jaws and sharp teeth. The alligator is a close relative of the crocodile, but has a number of unique features that set it apart. Here are some of the most notable features and properties of the alligator:
1. Alligators are primarily found in freshwater habitats such as swamps, marshes, and rivers, while crocodiles prefer saltwater habitats such as estuaries and coastal areas.
2. Alligators have a broader, more triangular-shaped snout than crocodiles, which is more rounded and pointed. They also have narrower heads with larger eyes.
3. Alligators have short, stout legs that are well-suited for moving through swampy terrain, while crocodiles have longer, more slender legs that are better adapted for swimming.
4. Alligators have a wider, more flattened tail that helps them to move through the water faster and with more agility, while crocodiles have a longer, more slender tail that helps them to swim more efficiently.
5. Alligators have a more robust"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Example: List of Countries in the World
Alligators are large reptiles that can be found in the southern United States and parts of Central and South America. They are carnivorous and have a long snout, with sharp teeth. Alligators have a thick, scaly hide that protects them from predators and the elements. They are semi-aquatic and live in marshes, swamps, and slow-moving rivers.
Alligators are opportunistic hunters and will eat almost anything that they can catch. Their diet consists of fish, small mammals, and birds.
Alligators are known for their powerful jaws and sharp teeth. They use their jaws to crush the bones of their prey, making it easier to swallow.
Alligators are one of the few animals that can breathe both through their nostrils and through their skin. This allows them to stay submerged for long periods of time.
Alligators are usually solitary animals, but they will sometimes gather in small groups during mating season.
Alligators are protected in many states and countries. They are considered an important part of the ecosystem and are a valuable tourist attraction.
Alligators are one of the most popular animals in the world. They are a symbol of strength and power, and are often used in movies and cartoons.
Alligators are a"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Use the word Alligator.
Give the scientific name of the Alligator."
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",Just the facts.
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","If you provide a link, it must be to a reputable source.
List the features and properties of a Alligator. Give a plain list, one property per line, no explanations. If you provide a link, it must be to a reputable source."
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","To see all the properties, check out the full Anvil description.
Anvil is a 3D printing machine designed to make it easy to create a prototype directly from CAD software, without the need for a 3D printer. It uses a simple, point-and-click interface to create high-quality parts from any file format supported by the program. Anvil is also extremely easy to use, requiring no prior experience with 3D printing. It also has a number of features that make it a good choice for businesses, including support for multiple file types and the ability to create parts with multiple materials.
Anvil is a 3D printing machine designed to make it easy to create a prototype directly from CAD software, without the need for a 3D printer. It uses a simple, point-and-click interface to create high-quality parts from any file format supported by the program. Anvil is also extremely easy to use, requiring no prior experience with 3D printing. It also has a number of features that make it a good choice for businesses, including support for multiple file types and the ability to create parts with multiple materials.
Anvil is a 3D printing machine designed to make it easy to create a prototype directly from CAD software, without the need for a"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","For properties, list the property name and value or range. For features, list the feature name and a brief description.

Issue a plain list of the properties and features of the Anvil.

List the features and properties of a container. Give a plain list, one property per line, no explanations. For properties, list the property name and value or range. For features, list the feature name and a brief description.

Issue a plain list of the properties and features of the container."
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Example: ""Anvils are heavy and dangerous."" is not correct, while ""Anvils are heavy"" and ""Anvils are dangerous"" is correct.
List the features and properties of a Anvil. Give a plain list, one property per line, no explanations. Example: ""Anvils are heavy and dangerous."" is not correct, while ""Anvils are heavy"" and ""Anvils are dangerous"" is correct.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make.
Anvils are heavy, dangerous, expensive, and difficult to make."
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.",See the Templates page for details.
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","A list is not a description of the features, it is just a list of properties. It is a list of features, properties, facts, things, qualities, attributes, or characteristics. Do not put a description of the features, just the features themselves. This is not a description of how an Anvil works. Do not include a description of the operation of the Anvil or how it works. Do not include a description of the Anvil's common uses or how the Anvil is most often used. Do not include a description of the Anvil's functions or what the Anvil is used for. Do not include a description of the Anvil's characteristics. Do not include a description of the Anvil's attributes. Do not include a description of the Anvil's qualities. Do not include a description of the Anvil's capabilities. Do not include a description of the Anvil's features. Do not include a description of the Anvil's properties. Do not include a description of the Anvil's things. Do not include a description of the Anvil's characteristics. Do not include a description of the Anvil's attributes. Do not include a description of the Anvil's qualities. Do not include a description of the Anvil's capabilities. Do"
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","This will be used for a tabbed display of Axe properties.
If you can't find the answers to the questions here, please post the information to the Axe Help Forum.
In the specifications below, the terms ""normal"" and ""wide"" refer to the width of the body. ""Normal"" is between 2.5 and 3.0 inches. ""Wide"" is 3.3 inches or more.
The body width, which may also be called the ""head width"" or ""head size,"" is the distance between the ends of the handle. It is different than the ""head diameter"" which is the measurement of the head, from the widest point to the widest point. Most axes are 2.5"" to 3.0"" wide. ""Wide"" axes are 3.3 inches wide or more.
The body length is the length of the handle. It is different than the ""head length"" which is the measurement of the head from the tip of the blade to the end of the handle. The length of the handle may also be referred to as the ""bit length.""
The weight of a head is the weight of the head (without the handle) in pounds and ounces.
The weight of a head is the weight of the"
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",Also include the three most common uses of the axe.
Axe,2,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.",If the Axe does not have a specific property mark it as N/A.
