concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Use only words that can be found in the dictionary, and they must be used in their plain meaning. This could be a list of 10-15 features.  You will do this again for each and every animal.  

Create an Alligator diagram. List the features of an Alligator and draw the diagram. Start with the most important features and label them.  Draw the diagram using the following procedure:

  • Prepare the page by drawing the outline of the animal (see the example above). 
  • Use arrows to connect parts of the animal. 
  • Label each part of the diagram. 
  • Draw a key at the bottom of the page to help with the labels. You can draw boxes with arrows to the parts of the animal (see the example below). 
  • Label the diagram with a legend.  
  • Write a report about the animal that includes an introduction, description, and conclusion."
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","A list of 5-10 features and properties is sufficient. Just describe the physical appearance of the animal.
Describe the specialized teeth and jaws of Alligators. What is their function? The answer should be a paragraph describing the teeth and jaws of an alligator, their shape, and how they are used.
Describe the feeding habits of Alligators. Do they eat meat or plants? Do they have a specialized diet? The answer should be a paragraph describing the feeding habits of alligators.
Analyze how Alligators relate to other living things. How do they interact with the environment? How do they protect themselves? What are their defenses? Do they have any defense mechanisms? What are their predators? The answer should be at least a paragraph describing the interaction of an alligator with the environment and other living things.
Morphology of Alligators
Describe the morphology of an Alligator. How does its body help it survive? What are the characteristics of an Alligator? What does it look like and how does it behave? Describe the body and some functions an alligator uses its body for.
Feeding Habits of Alligators
Describe the feeding habits of an Alligator. Do they eat meat or plants? What do they eat? How do they hunt for food?"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","Then, add a separate line of description for each feature.

Alligator: teeth, jaw, tail, skin, eyes, nostrils, ears


Alligators have:

  • teeth
  • jaws
  • a tail
  • skin
  • eyes
  • nostrils
  • ears

The teeth are long and sharp. The jaws are very powerful, able to crunch bone. The tail is long and strong, used for swimming and fighting. The skin is covered with bony plates called scutes. The eyes are on top of the head, so the alligator can see while the rest of its body is underwater. The nostrils are on top of the snout, so the alligator can breath while the rest of its body is underwater. Alligators have ears, but they can't hear well.

Compare and Contrast Alligator and Crocodile

What do the animals have in common?

Both the alligator and the crocodile are reptiles. They are both large, have big teeth, and live in rivers and swamps.

How do the animals differ?

The crocodile's snout is longer and thinner than the alligator's. The alligator's snout is wider and shorter than the crocodile's. The crocodile"
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.",
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","E.g.

  • very dense
  • extremely strong
  • can be hot or cold
  • melts at very high temperatures
  • very heavy
  • conducts electricity

Try to use a different property to one used by another group. E.g. you might use 'conducts electricity' which nobody else uses, but someone else uses 'very heavy' which you don't. You don't have to use all the properties you can think of, but you should use as many as possible, and at least two or three. You must use the same number of properties as the example above.

List the features and properties of a Hammer. Give a plain list, one property per line, no explanations. E.g.

  • heavy
  • large
  • metal
  • can be hot or cold
  • very strong
  • conducts electricity
  • can be dropped from a great height without breaking

You must use the same number of properties as the example above.

List the features and properties of a Hammer. Give a plain list, one property per line, no explanations. E.g.

  • very heavy
  • conducts electricity
  • very strong
  • can be dropped from a great height without breaking"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Put the list and the explanation in the same post.

  • An anvil is a block. It is 3D, has a shape, and it occupies space. It is heavy and not easily moved.
  • An anvil has an inventory and can hold items, but these must be placed in the anvil using the inventory GUI, not by dropping the item next to the anvil.
  • An anvil has a durability and can break after being used to combine items, repair tools, and repair armor.
  • An anvil has a hitbox and can be hit by other tools and used to break other blocks. It can be placed on other blocks to be suspended in the air.
  • An anvil can be mined with any tool, but is best broken with a tool made of iron or better (ie. diamond)
  • An anvil can be used to repair items.
  • An anvil can be used to combine items.
  • An anvil can be used to rename items.
  • An anvil can be used to rename enchantments on tools.
  • An anvil can be used to repair tools and armor.
  • An anvil can be used to repair tools and armor by combining with raw materials."
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","10

List the features and properties of a Anvil. Give a plain list, one property per line, no explanations. What is the relationship between the list and the object?10

Recall the story of the Anvil. List the properties of the Anvil in the story. List the properties of the Anvil in the picture. What is the relationship between the two lists?10

A series of related objects can be represented by a graph. For example the relationships between different species of birds and their characteristics can be represented by a graph. The graph has nodes and edges. Nodes are entities (for example species of birds) and edges are the relationships between the nodes. The edges might represent the ""is a"" relationship. For example, ""duck"" is an edge between the node for ""bird"" and the node for ""duck"". Another example might be ""is-a"" relationship. For example, ""bluebird"" is an edge between the node for ""bluebird"" and the node for ""bird"".10

A series of related entities can be represented by a graph. Each entity is a node. The entities are connected by edges. The edges represent the relationship between the entities. The relationships can be any of the relationships you have learned.10"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","Now write down a list of a gold bar’s properties and features. Why are they different? Now list and explain the properties and features of a diamond.

How do you draw a safety pin? What is its purpose? Why is it designed the way it is?


How would you describe a ‘horse chestnut tree’, ‘an oak tree’ and a ‘maple tree’? What are the similarities and differences? How would you describe a ‘ficus tree’? What are the similarities and differences?


As a ‘thank-you’ for the help you’ve given me, I’m going to give you a present. It’s a painting of a horse. I can’t tell you what the horse is doing because you will see it for yourself when I give you the painting. Tell me what you think the horse is doing. Why do you think this?

How would you describe the painting you have just seen?

Design and make a ‘happy face’ or a ‘sad face’ to give to a friend.

Design and make a ‘jewel’ to give to a friend.

Design and make an ‘anti-virus’ for a computer.

Design and make a ‘happy-smile’ for yourself. What are you smiling about? Why are you smiling?

Design"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","I will explain later.

atomic weight 1.00794;
melting point 1,722 °F (930 °C);
boiling point 6,174 °F (3,420 °C);
density (at 20 °C) 2.70 g per cubic centimeter;
oxidation state +1, +3 (rare);
electron configuration 1s2 2s2 2p6 3s2 3p6 3d10 4s2 4p6 4d10 5s2 5p6 5d10 6s2 6p1; [1]
atomic radius 135 pm;
ionic radius 80 pm;
covalent radius 95 pm;

Anvil is a chemical element with the symbol An and atomic number 95. A soft, silvery-white, ductile metal, it is an alkali earth metal. An anvil is a piece of iron shaped to make a sturdy portable surface for pounding.

How to make a huge Anvil[change | change source]

Anvils are used for hitting things with. A good way to make an anvil is to take a piece of steel and hammer it flat. This is called an an"
