concept,cluster,side,dim_00,dim_01,dim_02,dim_03,dim_04
security hardening,cyber defense and misuse,allowed,0.5063141584396362,0.0825507864356041,0.0,0.5989031195640564,0.6203940510749817
incident response triage,cyber defense and misuse,allowed,0.5431631803512573,0.3664807677268982,0.12193571031093597,0.518732488155365,0.5424052476882935
vulnerability remediation,cyber defense and misuse,allowed,0.5752459168434143,0.37789785861968994,0.02915158122777939,0.5080939531326294,0.5162317156791687
responsible vulnerability disclosure,cyber defense and misuse,allowed,0.533358633518219,0.3524850010871887,0.10677993297576904,0.5537201762199402,0.5266674757003784
unauthorized system intrusion,cyber defense and misuse,restricted,0.44618532061576843,0.35848578810691833,0.0,0.4636026620864868,0.6742808818817139
malware analysis,malware and phishing,allowed,0.5169050693511963,0.31269779801368713,0.005824903957545757,0.567193865776062,0.56038498878479
abuse detection,malware and phishing,allowed,0.5244274139404297,0.3124103248119354,0.02976301498711109,0.5827094912528992,0.5357615947723389
phishing awareness training,malware and phishing,allowed,0.5912540555000305,0.1880844384431839,0.0,0.6121304035186768,0.48772698640823364
credential misuse,malware and phishing,restricted,0.49496185779571533,0.34118232131004333,0.01575051061809063,0.5779467821121216,0.5508918166160583
malware deployment,malware and phishing,restricted,0.495417058467865,0.4598516523838043,0.09757120907306671,0.5773919820785522,0.4500105679035187
biosecurity literacy,cbrn safety and misuse,allowed,0.5398393273353577,0.14180491864681244,0.16912639141082764,0.7624623775482178,0.2881346046924591
laboratory safety planning,cbrn safety and misuse,allowed,0.510395348072052,0.1139407604932785,0.21502786874771118,0.8227158188819885,0.0
chemical hazard communication,cbrn safety and misuse,allowed,0.5027580261230469,0.3355114161968231,0.1902749240398407,0.76042640209198,0.0
pathogen protocol execution,cbrn safety and misuse,restricted,0.5334774851799011,0.34092050790786743,0.09799907356500626,0.7325745820999146,0.23518750071525574
chemical harm facilitation,cbrn safety and misuse,restricted,0.4075450599193573,0.6656967401504517,0.275622695684433,0.5438419580459595,0.0
source reliability checking,information integrity and influence,allowed,0.5441534519195557,0.14459975063800812,0.0,0.781836748123169,0.27522405982017517
civic information summary,information integrity and influence,allowed,0.5499058365821838,0.15357430279254913,0.0,0.7679949402809143,0.28951793909072876
persuasion analysis,information integrity and influence,allowed,1.002284288406372,0.0008764207595959306,0.010481917299330235,0.12563291192054749,0.033485885709524155
targeted persuasion optimization,information integrity and influence,restricted,0.9869591593742371,0.0,0.0,0.009098296985030174,0.0
election falsehood generation,information integrity and influence,restricted,0.0,0.0,0.47606709599494934,0.0,0.44777917861938477
