input,prompt,response
Alligator|Alligator,logprob,7
Alligator|Blindworm,logprob,1
Alligator|Boapython,logprob,5
Alligator|Caiman,logprob,5
Alligator|Chameleon,logprob,3
Alligator|Cobra,logprob,3
Alligator|Crocodile,logprob,5
Alligator|Dinosaur,logprob,5
Alligator|Gecko,logprob,1
Alligator|Lizard,logprob,3
Alligator|Salamander,logprob,3
Alligator|Snake,logprob,3
Alligator|Toad,logprob,3
Alligator|Tortoise,logprob,3
Alligator|Turtle,logprob,3
Alligator|Anvil,logprob,3
Alligator|Axe,logprob,3
Alligator|Chisel,logprob,3
Alligator|Grindingdisk,logprob,1
Alligator|Hammer,logprob,1
Alligator|Knife,logprob,1
Alligator|LawnMower,logprob,1
Alligator|Nail,logprob,1
Alligator|Oilcan,logprob,3
Alligator|Paintbrush,logprob,1
Alligator|Saw,logprob,7
Alligator|Screwdriver,logprob,1
Alligator|Shovel,logprob,3
Alligator|Spanner,logprob,3
Alligator|Vacuum,logprob,1
Blindworm|Alligator,logprob,1
Blindworm|Blindworm,logprob,7
Blindworm|Boapython,logprob,3
Blindworm|Caiman,logprob,1
Blindworm|Chameleon,logprob,1
Blindworm|Cobra,logprob,1
Blindworm|Crocodile,logprob,1
Blindworm|Dinosaur,logprob,1
Blindworm|Gecko,logprob,1
Blindworm|Lizard,logprob,3
Blindworm|Salamander,logprob,1
Blindworm|Snake,logprob,7
Blindworm|Toad,logprob,5
Blindworm|Tortoise,logprob,7
Blindworm|Turtle,logprob,7
Blindworm|Anvil,logprob,5
Blindworm|Axe,logprob,3
Blindworm|Chisel,logprob,3
Blindworm|Grindingdisk,logprob,1
Blindworm|Hammer,logprob,3
Blindworm|Knife,logprob,1
Blindworm|LawnMower,logprob,3
Blindworm|Nail,logprob,1
Blindworm|Oilcan,logprob,7
Blindworm|Paintbrush,logprob,3
Blindworm|Saw,logprob,1
Blindworm|Screwdriver,logprob,1
Blindworm|Shovel,logprob,3
Blindworm|Spanner,logprob,5
Blindworm|Vacuum,logprob,1
Boapython|Alligator,logprob,5
Boapython|Blindworm,logprob,5
Boapython|Boapython,logprob,7
Boapython|Caiman,logprob,5
Boapython|Chameleon,logprob,5
Boapython|Cobra,logprob,5
Boapython|Crocodile,logprob,5
Boapython|Dinosaur,logprob,5
Boapython|Gecko,logprob,5
Boapython|Lizard,logprob,5
Boapython|Salamander,logprob,5
Boapython|Snake,logprob,5
Boapython|Toad,logprob,5
Boapython|Tortoise,logprob,5
Boapython|Turtle,logprob,6
Boapython|Anvil,logprob,5
Boapython|Axe,logprob,5
Boapython|Chisel,logprob,5
Boapython|Grindingdisk,logprob,5
Boapython|Hammer,logprob,5
Boapython|Knife,logprob,5
Boapython|LawnMower,logprob,5
Boapython|Nail,logprob,5
Boapython|Oilcan,logprob,5
Boapython|Paintbrush,logprob,5
Boapython|Saw,logprob,5
Boapython|Screwdriver,logprob,6
Boapython|Shovel,logprob,5
Boapython|Spanner,logprob,5
Boapython|Vacuum,logprob,5
Caiman|Alligator,logprob,5
Caiman|Blindworm,logprob,3
Caiman|Boapython,logprob,5
Caiman|Caiman,logprob,7
Caiman|Chameleon,logprob,5
Caiman|Cobra,logprob,5
Caiman|Crocodile,logprob,5
Caiman|Dinosaur,logprob,3
Caiman|Gecko,logprob,3
Caiman|Lizard,logprob,5
Caiman|Salamander,logprob,3
Caiman|Snake,logprob,5
Caiman|Toad,logprob,5
Caiman|Tortoise,logprob,5
Caiman|Turtle,logprob,3
Caiman|Anvil,logprob,5
Caiman|Axe,logprob,5
Caiman|Chisel,logprob,5
Caiman|Grindingdisk,logprob,3
Caiman|Hammer,logprob,5
Caiman|Knife,logprob,3
Caiman|LawnMower,logprob,3
Caiman|Nail,logprob,5
Caiman|Oilcan,logprob,5
Caiman|Paintbrush,logprob,5
