concept,rep,prompt,response
Alligator,0,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Reptile
- Crocodile-like body shape
- Long, sharp teeth
- Snout shaped like a J or C
- Semi-aquatic, spends time both on land and in water
- Highly aggressive and territorial
- Venomous bite
- May grow up to 20 feet long
- Lives up to 40 years in captivity
- Feeds on fish, birds, and other reptiles
- Strong jaws capable of crushing bone"
Alligator,1,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Teeth are as long as their heads
- Has a powerful tail
- Feeds on fish and other reptiles
- Lives in warm, freshwater habitats
- Can grow up to 12 feet long
- Has a distinctive snout shape
- Breathes through its skin in water"
Alligator,2,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Sharp teeth
- Crocodile-like body
- Powerful tail
- Viper-like tongue
- Snapping jaws
- Long, powerful legs
- Saltwater or freshwater habitat
- Rough, scaly skin
- Camouflage hiding ability
- Venomous bite
- Tail provides speed and strength
- Lives for up to 60 years"
Alligator,3,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","1. The Alligator is a reptile.
2. It has a distinctive snout.
3. Alligators can live up to 60 years.
4. They are powerful swimmers.
5. Alligators have long, sharp teeth.
6. Their skin is rough and bumpy.
7. Alligators can be found in freshwater environments.
8. They are known to be aggressive towards humans.
9. Their diet primarily consists of fish and small animals.
10. Alligators can grow to be very large."
Alligator,4,"List the features and properties of a Alligator. Give a plain list, one property per line, no explanations.","- Reaches up to 11 feet long
- Teeth are not aligned in a regular row
- Predominantly aquatic
- Has a broad, flat tail
- Has a distinctive snout shape
- Lives in freshwater environments
- Has a distinctive jagged mouth line
- Can survive in high salinity waters
- Lacks sweat glands"
Anvil,0,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Metal construction
- Flexible frame
- Integrated lighting
- Adjustable seat
- Bluetooth connectivity
- Waterproof design
- Comfortable seating
- Anti-slip base
- Foldable design"
Anvil,1,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Anvil is a Minecraft block
- It is a block with a diamond face
- It can be crafted using 3 cobblestone blocks
- It is red in color
- It can be used to create furnaces
- It is found in the Underground Biome and Deep Underground Biome in the Overworld"
Anvil,2,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Electrical conductivity
- Composed of eutectic mixture of aluminum, silicon, and iron
- Uses fused quartz for insulation
- Lightweight
- Resistant to corrosion
- High strength-to-weight ratio
- Electrical insulation
- High melting point
- Insulation resistance
- Heat resistance
- Flame retardant"
Anvil,3,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Base material is usually concrete
- Often designed for outdoor use
- Can be easily installed
- Available in various sizes
- Comes in different colors
- Can be customized
- Built to withstand weather elements
- Allows for easy assembly
- Provides good structural stability"
Anvil,4,"List the features and properties of a Anvil. Give a plain list, one property per line, no explanations.","- Atrium
- Autopilot
- Salvage
- Reinforced Hull
- High-End Combat System
- Modular Design
- Reconnaissance Suite
- Advanced Shield System
- Docking Bay
- Propulsion System"
Axe,0,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","- Blade type: Axe
- Cutting edge: Long, usually extending from the handle to the end of the blade
- Handle material: Typically made of wood, metal, or a combination of both
- Number of edges: Usually two, one on each side of the handle
- Grip style: Often designed with a rubber or wood grip for better control
- Weight: Varies based on material and design, often lighter than a machete
- Length: Variable, can range from short to long, depending on use
- Purpose: Primarily used for chopping, felling trees, and cutting small wood
- Design: Often asymmetrical, one side may have a larger, more pronounced head than the other"
Axe,1,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","- Metal head
- Curved handle
- Tipped with a J-shaped blade
- Designed for chopping and cleaving tasks
- Often used for felling trees
- Can be made from various materials including steel, titanium, or carbon fiber"
Axe,2,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","- Fixed large head design
- Designed for chopping and cleaving wood
- Available in various sizes
- Can be made from different materials
- Long handle allows for better leverage
- Designed for both outdoor and indoor use
- Can be used to cut through branches and trees
- Available in different colors for aesthetic appeal"
Axe,3,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","- Long handle for extended reach
- Adjustable head size for comfort
- Strong forged steel head
- Dual bevel cutting edges for versatility
- Splash guard for protection
- Aesthetic designs for customization"
Axe,4,"List the features and properties of a Axe. Give a plain list, one property per line, no explanations.","- Two-pronged blade
- Tapered handle
- Crossguard
- Gritted surface for grip
- May have a head cap or sheath
- Typically made from hardwood or carbon steel
- Designed for chopping, splitting, and chopping wood"
Blindworm,0,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.","1. Blind
2. Worm-shaped
3. Moves silently
4. Feeds on the weak
5. Often found underwater
6. Known to cause distress in human beings"
Blindworm,1,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.","- Blind
- Worm-like
- Reptilian
- Breathes through skin
- Has a small, slender body
- Predominantly aquatic
- No eyes
- Tentacles for touch and sensation
- Slender body
- Breathes via gills during water
- No limbs
- Feeds on aquatic life
- Slime covering
- Defensive mechanism"
Blindworm,2,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.","- Earthquake-resistant construction
- Magnetic field manipulation abilities
- Integral solar power array
- Stealth camo pattern
- Long lifespan, potentially millions of years
- Nocturnal activity
- Can emit a powerful, pulsating beam of energy"
Blindworm,3,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.","- Shape: Worm-like
- Movement: Sluggish, non-ambulatory
- Vision: Ineffective or absent
- Communication: Limited or absent
- Reproduction: Oviparous
- Diet: Detritus and organic matter
- Size: Typically small, may vary by species
- Habitat: Aquatic, often in muddy or rocky environments"
Blindworm,4,"List the features and properties of a Blindworm. Give a plain list, one property per line, no explanations.","- Feeds on moisture
- Cannot see
- Has a round body
- Lives underwater
- Has a long, worm-like body
- No eyes
- No limbs
- Cannot survive in air
- Dug underwater for shelter
- Can swim in water
- Feeds on algae and other aquatic plants"
Boa python,0,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.","- Long body
- Prefers to live in trees
- Can remain motionless for hours
- Prefers to eat birds
- Skin is capable of changing color
- Venomousfangs"
Boa python,1,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.","- Large body size
- Prefers warm climates
- Prefers puddles for hunting
- Can remain almost motionless for years
- Can swallow prey up to 5 times its own length
- Has a highly flexible body
- Prefers to be left alone"
Boa python,2,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.","- Body is thick and usually around 15-18 feet in length
- Prefers to live in the trees and can stay suspended upside down
- Can swallow animals larger than itself
- Has a single row of scales on each side
- Has heat pits on its face for thermoregulation
- Breathe through lungs and skin, and is cold blooded"
Boa python,3,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.","- Longevity
- Can grow up to 23 feet
- Scales
- Breathe with lungs
- Caudal glands produce venom
- Sunbathing
- Good swimmers"
Boa python,4,"List the features and properties of a Boa python. Give a plain list, one property per line, no explanations.","- Body length can exceed 23 feet
- Slow moving for most of its life
- Prefers to live in rainforest habitats
- Head is relatively small compared to body
- Prefers to eat small mammals and birds
- Defensive mechanism includes squirting blood from lower jaw"
